OUTPATIENT SERVICES,Average Charge for each Outpatient Service
"CATH, TRANS ATHER, DIREC LV 8","$6,311.75"
"CATH, TRANS ATHER, DIREC LV 9","$12,623.75"
"CATH, TRANS ATHER, DIREC LV 10","$18,081.00"
BRACHYTHERAPY NEEDLE LV 2,$70.25
BRACHYTHERAPY NEEDLE LV 3,$140.75
BRACHYTHERAPY NEEDLE LV 4,$281.25
BRACHYTHERAPY NEEDLE LV 5,$703.00
BRACHYTHERAPY NEEDLE LV 6,"$1,262.25"
BRACHYTHERAPY NEEDLE LV 7,"$2,524.75"
BRACHYTHERAPY NEEDLE LV 8,"$6,311.75"
BRACHYTHERAPY NEEDLE LV 9,"$12,623.75"
BRACHYTHERAPY NEEDLE LV 10,"$18,081.00"
CARDIOVERT-DEFIB DUAL LV 2,$70.25
CARDIOVERT-DEFIB DUAL LV 3,$140.75
CARDIOVERT-DEFIB DUAL LV 4,$281.25
CARDIOVERT-DEFIB DUAL LV 5,$703.00
CARDIOVERT-DEFIB DUAL LV 6,"$1,262.25"
CARDIOVERT-DEFIB DUAL LV 7,"$2,524.75"
CARDIOVERT-DEFIB DUAL LV 8,"$6,311.75"
CARDIOVERT-DEFIB DUAL LV 9,"$12,623.75"
CARDIOVERT-DEFIB DUAL LV 10,"$18,081.00"
CARDIOVERT-DEFIB DUAL LV 11,"$36,162.00"
CARDIOVERT-DEFIB DUAL LV 12,"$54,243.00"
CARDIOVERT-DEFIB DUAL LV 13,"$72,324.00"
CARDIOVERT-DEFIB SINGLE LV 2,$70.25
CARDIOVERT-DEFIB SINGLE LV 3,$140.75
CARDIOVERT-DEFIB SINGLE LV 4,$281.25
CARDIOVERT-DEFIB SINGLE LV 5,$703.00
CARDIOVERT-DEFIB SINGLE LV 6,"$1,262.25"
CARDIOVERT-DEFIB SINGLE LV 7,"$2,524.75"
CARDIOVERT-DEFIB SINGLE LV 8,"$6,311.75"
CARDIOVERT-DEFIB SINGLE LV 9,"$12,623.75"
CARDIOVERT-DEFIB SINGLE LV 10,"$18,081.00"
CARDIOVERT-DEFIB SINGLE LV 11,"$36,162.00"
CARDIOVERT-DEFIB SINGLE LV 12,"$54,243.00"
CARDIOVERT-DEFIB SINGLE LV 13,"$72,324.00"
"CATH, TRANS ATHER ROT LV 2",$70.25
"CATH, TRANS ATHER ROT LV 3",$140.75
"CATH, TRANS ATHER ROT LV 4",$281.25
"CATH, TRANS ATHER ROT LV 5",$703.00
"CATH, TRANS ATHER ROT LV 6","$1,262.25"
"CATH, TRANS ATHER ROT LV 7","$2,524.75"
"CATH, TRANS ATHER ROT LV 8","$6,311.75"
"CATH, TRANS ATHER ROT LV 9","$12,623.75"
"CATH, TRANS ATHER ROT LV 10","$18,081.00"
"CATH, TRANS ATHER ROT LV 12","$54,243.00"
"CATH, TRANS ANG NONLAS LV 2",$70.25
"CATH, TRANS ANG NONLAS LV 3",$140.75
"CATH, TRANS ANG NONLAS LV 4",$281.25
"CATH, TRANS ANG NONLAS LV 5",$703.00
"CATH, TRANS ANG NONLAS LV 6","$1,262.25"
"CATH, TRANS ANG NONLAS LV 7","$2,524.75"
"CATH, TRANS ANG NONLAS LV 8","$6,311.75"
"CATH, TRANS ANG NONLAS LV 9","$12,623.75"
"CATH, TRANS ANG NONLAS LV 10","$18,081.00"
"CATH, BALLOON DILAT NV LV 2",$70.25
"CATH, BALLOON DILAT NV LV 3",$140.75
"CATH, BALLOON DILAT NV LV 4",$281.25
"CATH, BALLOON DILAT NV LV 5",$703.00
"CATH, BALLOON DILAT NV LV 6","$1,262.25"
"CATH, BALLOON DILAT NV LV 7","$2,524.75"
"CATH, BALLOON DILAT NV LV 8","$6,311.75"
"CATH, BALLOON DILAT NV LV 9","$12,623.75"
"CATH, BALLOON DILAT NV LV 10","$18,081.00"
"CATH, DRAINAGE LV 2",$70.25
"CATH, DRAINAGE LV 3",$140.75
"CATH, DRAINAGE LV 4",$281.25
"CATH, DRAINAGE LV 5",$703.00
"CATH, DRAINAGE LV 6","$1,262.25"
"CATH, DRAINAGE LV 7","$2,524.75"
"CATH, DRAINAGE LV 8","$6,311.75"
"CATH, DRAINAGE LV 9","$12,623.75"
"CATH, DRAINAGE LV 10","$18,081.00"
"CATH, HEMODIALYSIS LT LV 2",$70.25
"CATH, HEMODIALYSIS LT LV 3",$140.75
"CATH, HEMODIALYSIS LT LV 4",$281.25
"CATH, HEMODIALYSIS LT LV 5",$703.00
"CATH, HEMODIALYSIS LT LV 6","$1,262.25"
"CATH, HEMODIALYSIS LT LV 7","$2,524.75"
"CATH, HEMODIALYSIS LT LV 8","$6,311.75"
"CATH, HEMODIALYSIS LT LV 9","$12,623.75"
"CATH, HEMODIALYSIS LT LV 10","$18,081.00"
"CATH, INFUSION LV 2",$70.25
"CATH, INFUSION LV 3",$140.75
"CATH, INFUSION LV 4",$281.25
"CATH, INFUSION LV 5",$703.00
"CATH, INFUSION LV 6","$1,262.25"
"CATH, INFUSION LV 7","$2,524.75"
"CATH, INFUSION LV 8","$6,311.75"
"CATH, INFUSION LV 9","$12,623.75"
"CATH, INFUSION LV 10","$18,081.00"
"CATH, HEMODIALYSIS ST LV 2",$70.25
"CATH, HEMODIALYSIS ST LV 3",$140.75
"CATH, HEMODIALYSIS ST LV 4",$281.25
"CATH, HEMODIALYSIS ST LV 5",$703.00
"CATH, HEMODIALYSIS ST LV 6","$1,262.25"
"CATH, HEMODIALYSIS ST LV 7","$2,524.75"
"CATH, HEMODIALYSIS ST LV 8","$6,311.75"
"CATH, HEMODIALYSIS ST LV 9","$12,623.75"
"CATH, HEMODIALYSIS ST LV 10","$18,081.00"
"CATH, INTRAVAS US LV 2",$70.25
"CATH, INTRAVAS US LV 3",$140.75
"CATH, INTRAVAS US LV 4",$281.25
"CATH, INTRAVAS US LV 5",$703.00
"CATH, INTRAVAS US LV 6","$1,262.25"
"CATH, INTRAVAS US LV 7","$2,524.75"
"CATH, INTRAVAS US LV 8","$6,311.75"
"CATH, INTRAVAS US LV 9","$12,623.75"
"CATH, INTRAVAS US LV 10","$18,081.00"
"CATH, THROMB/EMBOL LV 2",$70.25
"CATH, THROMB/EMBOL LV 3",$140.75
"CATH, THROMB/EMBOL LV 4",$281.25
"CATH, THROMB/EMBOL LV 5",$703.00
"CATH, THROMB/EMBOL LV 6","$1,262.25"
"CATH, THROMB/EMBOL LV 7","$2,524.75"
"CATH, THROMB/EMBOL LV 8","$6,311.75"
"CATH, THROMB/EMBOL LV 9","$12,623.75"
"CATH, THROMB/EMBOL LV 10","$18,081.00"
"CATH, URETERAL LV 2",$70.25
"CATH, URETERAL LV 3",$140.75
"CATH, URETERAL LV 4",$281.25
"CATH, URETERAL LV 5",$703.00
"CATH, URETERAL LV 6","$1,262.25"
"CATH, URETERAL LV 7","$2,524.75"
"CATH, URETERAL LV 8","$6,311.75"
"CATH, URETERAL LV 9","$12,623.75"
"CATH, URETERAL LV 10","$18,081.00"
"CLOSURE DEVICE, VASC LV 2",$70.25
"CLOSURE DEVICE, VASC LV 3",$140.75
"CLOSURE DEVICE, VASC LV 4",$281.25
"CLOSURE DEVICE, VASC LV 5",$703.00
"CLOSURE DEVICE, VASC LV 6","$1,262.25"
"CLOSURE DEVICE, VASC LV 7","$2,524.75"
"CLOSURE DEVICE, VASC LV 8","$6,311.75"
"CLOSURE DEVICE, VASC LV 9","$12,623.75"
"CLOSURE DEVICE, VASC LV 10","$18,081.00"
CONNECTIVE TISSUE HUMAN LV 2,$70.25
CONNECTIVE TISSUE HUMAN LV 3,$140.75
CONNECTIVE TISSUE HUMAN LV 4,$281.25
CONNECTIVE TISSUE HUMAN LV 5,$703.00
CONNECTIVE TISSUE HUMAN LV 6,"$1,262.25"
CONNECTIVE TISSUE HUMAN LV 7,"$2,524.75"
CONNECTIVE TISSUE HUMAN LV 8,"$6,311.75"
CONNECTIVE TISSUE HUMAN LV 9,"$12,623.75"
CONNECTIVE TISSUE HUMAN LV 10,"$18,081.00"
CONNECTIVE TISSUE NON-HUM LV 2,$70.25
CONNECTIVE TISSUE NON-HUM LV 3,$140.75
CONNECTIVE TISSUE NON-HUM LV 4,$281.25
CONNECTIVE TISSUE NON-HUM LV 5,$703.00
CONNECTIVE TISSUE NON-HUM LV 6,"$1,262.25"
CONNECTIVE TISSUE NON-HUM LV 7,"$2,524.75"
CONNECTIVE TISSUE NON-HUM LV 8,"$6,311.75"
CONNECTIVE TISSUE NON-HUM LV 9,"$12,623.75"
CONNECTIVE TISSUE NONHUM LV 10,"$18,081.00"
"EVENT RECORDER, CARD LV 2",$70.25
"EVENT RECORDER, CARD LV 3",$140.75
"EVENT RECORDER, CARD LV 4",$281.25
"EVENT RECORDER, CARD LV 5",$703.00
"EVENT RECORDER, CARD LV 6","$1,262.25"
"EVENT RECORDER, CARD LV 7","$2,524.75"
"EVENT RECORDER, CARD LV 8","$6,311.75"
"EVENT RECORDER, CARD LV 9","$12,623.75"
"EVENT RECORDER, CARD LV 10","$18,081.00"
ADHESION BARRIER LV 2,$70.25
ADHESION BARRIER LV 3,$140.75
ADHESION BARRIER LV 4,$281.25
ADHESION BARRIER LV 5,$703.00
ADHESION BARRIER LV 6,"$1,262.25"
ADHESION BARRIER LV 7,"$2,524.75"
ADHESION BARRIER LV 8,"$6,311.75"
ADHESION BARRIER LV 9,"$12,623.75"
ADHESION BARRIER LV 10,"$18,081.00"
"GEN, NEUROSTIM, NON LV 2",$70.25
"GEN, NEUROSTIM, NON LV 3",$140.75
"GEN. NEUROSTIM, NON LV 4",$281.25
"GEN, NEUROSTIM, NON LV 5",$703.00
"GEN, NEUROSTIM, NON LV 6","$1,262.25"
"GEN, NEUROSTIM, NON LV 7","$2,524.75"
"GEN, NEUROSTIM, NON LV 8","$6,311.75"
"GEN, NEUROSTIM, NON LV 9","$12,623.75"
"GEN, NEUROSTIM, NON LV 10","$18,081.00"
"GEN, NEUROSTIM, NON LV 11","$36,162.00"
"GEN, NEUROSTIM, NON LV 12","$54,243.00"
VASCULAR GRAFT LV 2,$70.25
VASCULAR GRAFT LV 3,$140.75
VASCULAR GRAFT LV 4,$281.25
VASCULAR GRAFT LV 5,$703.00
VASCULAR GRAFT LV 6,"$1,262.25"
VASCULAR GRAFT LV 7,"$2,524.75"
VASCULAR GRAFT LV 8,"$6,311.75"
VASCULAR GRAFT LV 9,"$12,623.75"
VASCULAR GRAFT LV 10,"$18,081.00"
VASCULAR GRAFT LV 14,"$90,405.00"
GUIDEWIRE LV 2,$70.25
GUIDEWIRE LV 3,$140.75
GUIDEWIRE LV 4,$281.25
GUIDEWIRE LV 5,$703.00
GUIDEWIRE LV 6,"$1,262.25"
GUIDEWIRE LV 7,"$2,524.75"
GUIDEWIRE LV 8,"$6,311.75"
GUIDEWIRE LV 9,"$12,623.75"
GUIDEWIRE LV 10,"$18,081.00"
"URINARY REP DEV, W/SLING LV 2",$70.25
"URINARY REP DEV, W/SLING LV 3",$140.75
"URINARY REP DEV, W/SLING LV 4",$281.25
"URINARY REP DEV, W/SLING LV 5",$703.00
"URINARY REP DEV, W/SLING LV 6","$1,262.25"
"URINARY REP DEV, W/SLING LV 7","$2,524.75"
"URINARY REP DEV, W/SLING LV 8","$6,311.75"
"URINARY REP DEV, W/SLING LV 9","$12,623.75"
"URINARY REP DEV, W/SLING LV 10","$18,081.00"
RETRIEVAL DEVICE LV 2,$70.25
RETRIEVAL DEVICE LV 3,$140.75
RETRIEVAL DEVICE LV 4,$281.25
RETRIEVAL DEVICE LV 5,$703.00
RETRIEVAL DEVICE LV 6,"$1,262.25"
RETRIEVAL DEVICE LV 7,"$2,524.75"
RETRIEVAL DEVICE LV 8,"$6,311.75"
RETRIEVAL DEVICE LV 9,"$12,623.75"
RETRIEVAL DEVICE LV 10,"$18,081.00"
IMPLANTABLE JOINT LV 2,$70.25
IMPLANTABLE JOINT LV 3,$140.75
IMPLANTABLE JOINT LV 4,$281.25
IMPLANTABLE JOINT LV 5,$703.00
IMPLANTABLE JOINT LV 6,"$1,262.25"
IMPLANTABLE JOINT LV 7,"$2,524.75"
IMPLANTABLE JOINT LV 8,"$6,311.75"
IMPLANTABLE JOINT LV 9,"$12,623.75"
IMPLANTABLE JOINT LV 10,"$18,081.00"
"LEAD, C/D ENDO SNG COIL LV 2",$70.25
"LEAD, C/D ENDO SNG COIL LV 3",$140.75
"LEAD, C/D ENDO SNG COIL LV 4",$281.25
"LEAD, C/D ENDO SNG COIL LV 5",$703.00
"LEAD, C/D ENDO SNG COIL LV 6","$1,262.25"
"LEAD, C/D ENDO SNG COIL LV 7","$2,524.75"
"LEAD, C/D ENDO SNG COIL LV 8","$6,311.75"
"LEAD, C/D ENDO SNG COIL LV 9","$12,623.75"
"LEAD, C/D ENDO SNG COIL LV 10","$18,081.00"
"LEAD, NEUROSTIMULATOR LV 2",$70.25
"LEAD, NEUROSTIMULATOR LV 3",$140.75
"LEAD, NEUROSTIMULATOR LV 4",$281.25
"LEAD, NEUROSTIMULATOR LV 5",$703.00
"LEAD, NEUROSTIMULATOR LV 6","$1,262.25"
"LEAD, NEUROSTIMULATOR LV 7","$2,524.75"
"LEAD, NEUROSTIMULATOR LV 8","$6,311.75"
"LEAD, NEUROSTIMULATOR LV 9","$12,623.75"
"LEAD, NEUROSTIMULATOR LV 10","$18,081.00"
IMPLANTABLE MESH LV 2,$70.25
IMPLANTABLE MESH LV 3,$140.75
IMPLANTABLE MESH LV 4,$281.25
IMPLANTABLE MESH LV 5,$703.00
IMPLANTABLE MESH LV 6,"$1,262.25"
IMPLANTABLE MESH LV 7,"$2,524.75"
IMPLANTABLE MESH LV 8,"$6,311.75"
IMPLANTABLE MESH LV 9,"$12,623.75"
IMPLANTABLE MESH LV 10,"$18,081.00"
"PACEMAKER, D/C R/R LV 2",$70.25
"PACEMAKER, D/C R/R LV 3",$140.75
"PACEMAKER, D/C R/R LV 4",$281.25
"PACEMAKER, D/C R/R LV 5",$703.00
"PACEMAKER, D/C R/R LV 6","$1,262.25"
"PACEMAKER, D/C R/R LV 7","$2,524.75"
"PACEMAKER, D/C R/R LV 8","$6,311.75"
"PACEMAKER, D/C R/R LV 9","$12,623.75"
"PACEMAKER, D/C R/R LV 10","$18,081.00"
"PACEMAKER, S/C R/R LV 2",$70.25
"PACEMAKER, S/C R/R LV 3",$140.75
"PACEMAKER, S/C R/R LV 4",$281.25
"PACEMAKER, S/C R/R LV 5",$703.00
"PACEMAKER, S/C R/R LV 6","$1,262.25"
"PACEMAKER, S/C R/R LV 7","$2,524.75"
"PACEMAKER, S/C R/R LV 8","$6,311.75"
"PACEMAKER, S/C R/R LV 9","$12,623.75"
"PACEMAKER, S/C R/R LV 10","$18,081.00"
INDWELLING PORT LV 2,$70.25
INDWELLING PORT LV 3,$140.75
INDWELLING PORT LV 4,$281.25
INDWELLING PORT LV 5,$703.00
INDWELLING PORT LV 6,"$1,262.25"
INDWELLING PORT LV 7,"$2,524.75"
INDWELLING PORT LV 8,"$6,311.75"
INDWELLING PORT LV 9,"$12,623.75"
INDWELLING PORT LV 10,"$18,081.00"
BREAST PROSTHESIS LV 2,$70.25
BREAST PROSTHESIS LV 3,$140.75
BREAST PROSTHESIS LV 4,$281.25
BREAST PROSTHESIS LV 5,$703.00
BREAST PROSTHESIS LV 6,"$1,262.25"
BREAST PROSTHESIS LV 7,"$2,524.75"
BREAST PROSTHESIS LV 8,"$6,311.75"
BREAST PROSTHESIS LV 9,"$12,623.75"
BREAST PROSTHESIS LV 10,"$18,081.00"
PENILE PROSTHESIS INFL LV 2,$70.25
PENILE PROSTHESIS INFL LV 3,$140.75
PENILE PROSTHESIS INFL LV 4,$281.25
PENILE PROSTHESIS INFL LV 5,$703.00
PENILE PROSTHESIS INFL LV 6,"$1,262.25"
PENILE PROSTHESIS INFL LV 7,"$2,524.75"
PENILE PROSTHESIS INFL LV 8,"$6,311.75"
PENILE PROSTHESIS INFL LV 9,"$12,623.75"
PENILE PROSTHESIS INFL LV 10,"$18,081.00"
GEN NEURO RECHARGE LV 2,$70.25
GEN NEURO RECHARGE LV 3,$140.75
GEN NEURO RECHARGE LV 4,$281.25
GEN NEURO RECHARGE LV 5,$703.00
GEN NEURO RECHARGE LV 6,"$1,262.25"
GEN NEURO RECHARGE LV 7,"$2,524.75"
GEN NEURO RECHARGE LV 8,"$6,311.75"
GEN NEURO RECHARGE LV 9,"$12,623.75"
GEN NEURO RECHARGE LV 10,"$18,081.00"
GEN NEURO RECHARGE LV 11,"$36,162.00"
"STENT, COAT/COV DEL LV 2",$70.25
"STENT, COAT/COV DEL LV 3",$140.75
"STENT, COAT/COV DEL LV 4",$281.25
"STENT, COAT/COV DEL LV 5",$703.00
"STENT, COAT/COV DEL LV 6","$1,262.25"
"STENT, COAT/COV DEL LV 8","$6,311.75"
"STENT, COAT/COV DEL LV 7","$2,524.75"
"STENT, COAT/COV DEL LV 9","$12,623.75"
"STENT, COAT/COV DEL LV 10","$18,081.00"
"STENT, NON C/C DEL LV 2",$70.25
"STENT, NON C/C DEL LV 3",$140.75
"STENT, NON C/C DEL LV 4",$281.25
"STENT, NON C/C DEL LV 5",$703.00
"STENT, NON C/C DEL LV 6","$1,262.25"
"STENT, NON C/C DEL LV 7","$2,524.75"
"STENT, NON C/C DEL LV 8","$6,311.75"
"STENT, NON C/C DEL LV 9","$12,623.75"
"STENT, NON C/C DEL LV 10","$18,081.00"
VENA CAVA FILTER LV 2,$70.25
VENA CAVA FILTER LV 3,$140.75
VENA CAVA FILTER LV 4,$281.25
VENA CAVA FILTER LV 5,$703.00
VENA CAVA FILTER LV 6,"$1,262.25"
VENA CAVA FILTER LV 7,"$2,524.75"
VENA CAVA FILTER LV 8,"$6,311.75"
VENA CAVA FILTER LV 9,"$12,623.75"
VENA CAVA FILTER LV 10,"$18,081.00"
DIALYSIS ACC SYSTEM LV 2,$70.25
DIALYSIS ACC SYSTEM LV 3,$140.75
DIALYSIS ACC SYSTEM LV 4,$281.25
DIALYSIS ACC SYSTEM LV 5,$703.00
DIALYSIS ACC SYSTEM LV 6,"$1,262.25"
DIALYSIS ACC SYSTEM LV 7,"$2,524.75"
DIALYSIS ACC SYSTEM LV 8,"$6,311.75"
DIALYSIS ACC SYSTEM LV 9,"$12,623.75"
DIALYSIS ACC SYSTEM LV 10,"$18,081.00"
CARD/DEFIB OTHER LV 2,$70.25
CARD/DEFIB OTHER LV 3,$140.75
CARD/DEFIB OTHER LV 4,$281.25
CARD/DEFIB OTHER LV 5,$703.00
CARD/DEFIB OTHER LV 6,"$1,262.25"
CARD/DEFIB OTHER LV 7,"$2,524.75"
CARD/DEFIB OTHER LV 8,"$6,311.75"
CARD/DEFIB OTHER LV 9,"$12,623.75"
CARD/DEFIB OTHER LV 10,"$18,081.00"
CARD/DEFIB OTHER LV 11,"$36,162.00"
CARD/DEFIB OTHER LV 13,"$72,324.00"
CARD/DEFIB OTHER LV 12,"$54,243.00"
ADAPTOR/EXT LEAD NEURO LV 2,$70.25
ADAPTOR/EXT LEAD NEURO LV 3,$140.75
ADAPTOR/EXT LEAD NEURO LV 4,$281.25
ADAPTOR/EXT LEAD NEURO LV 5,$703.00
ADAPTOR/EXT LEAD NEURO LV 6,"$1,262.25"
ADAPTOR/EXT LEAD NEURO LV 7,"$2,524.75"
ADAPTOR/EXT LEAD NEURO LV 8,"$6,311.75"
ADAPTOR/EXT LEAD NEURO LV 9,"$12,623.75"
ADAPTOR/EXT LEAD NEURO LV 10,"$18,081.00"
"CATHETER, GUIDING LV 2",$70.25
"CATHETER, GUIDING LV 3",$140.75
"CATHETER, GUIDING LV 4",$281.25
"CATHETER, GUIDING LV 5",$703.00
"CATHETER, GUIDING LV 6","$1,262.25"
"CATHETER, GUIDING LV 7","$2,524.75"
"CATHETER, GUIDING LV 8","$6,311.75"
"CATHETER, GUIDING LV 9","$12,623.75"
"CATHETER, GUIDING LV 10","$18,081.00"
"CATH, ABLAT NONCARD ENDO LV 2",$70.25
"CATH, ABLAT NONCARD ENDO LV 3",$140.75
"CATH, ABLAT NONCARD ENDO LV 4",$281.25
"CATH, ABLAT NONCARD ENDO LV 5",$703.00
"CATH, ABLAT NONCARD ENDO LV 6","$1,262.25"
"CATH, ABLAT NONCARD ENDO LV 7","$2,524.75"
"CATH, ABLAT NONCARD ENDO LV 8","$6,311.75"
"CATH, ABLAT NONCARD ENDO LV 9","$12,623.75"
"CATH, ABLAT NONCARD ENDO LV 10","$18,081.00"
"INTRO,GUID I/C EP FIX,P/ALV 2",$70.25
"INTRO,GUID I/C EP FIX,P/ALV 3",$140.75
"INTRO,GUID I/C EP FIX,P/ALV 4",$281.25
"INTRO,GUID I/C EP FIX,P/ALV 5",$703.00
"INTRO,GUID I/C EP FIX,P/ALV 6","$1,262.25"
"INTRO,GUID I/C EP FIX,P/ALV 7","$2,524.75"
"INTRO,GUID I/C EP FIX,P/ALV 8","$6,311.75"
"INTRO,GUID I/C EP FIX,P/ALV 9","$12,623.75"
"INTRO,GUID I/C EP FIX,P/ALV 10","$18,081.00"
"INTRO,GUID I/C EP FIX,OTHLV 2",$70.25
"INTRO,GUID I/C EP FIX,OTHLV 3",$140.75
"INTRO,GUID I/C EP FIX,OTHLV 4",$281.25
"INTRO,GUID I/C EP FIX,OTHLV 5",$703.00
"INTRO,GUID I/C EP FIX,OTHLV 6","$1,262.25"
"INTRO,GUID I/C EP FIX,OTHLV 7","$2,524.75"
"INTRO,GUID I/C EP FIX,OTHLV 8","$6,311.75"
"INTRO,GUID I/C EP FIX,OTHLV 9","$12,623.75"
"INTRO,GUID I/C EP FIX,OTHLV 10","$18,081.00"
"INTRO, OTH GUIDE N/LAS LV 2",$70.25
"INTRO, OTH GUIDE N/LAS LV 3",$140.75
"INTRO, OTH GUIDE N/LAS LV 4",$281.25
"INTRO, OTH GUIDE N/LAS LV 5",$703.00
"INTRO, OTH GUIDE N/LAS LV 6","$1,262.25"
"INTRO, OTH GUIDE N/LAS LV 7","$2,524.75"
"INTRO, OTH GUIDE N/LAS LV 8","$6,311.75"
"INTRO, OTH GUIDE N/LAS LV 9","$12,623.75"
"INTRO, OTH GUIDE N/LAS LV 10","$18,081.00"
"LEAD, C/D ENDO DUAL LV 2",$70.25
"LEAD, C/D ENDO DUAL LV 3",$140.75
"LEAD, C/D ENDO DUAL LV 4",$281.25
"LEAD, C/D ENDO DUAL LV 5",$703.00
"LEAD, C/D ENDO DUAL LV 6","$1,262.25"
"LEAD, C/D ENDO DUAL LV 7","$2,524.75"
"LEAD, C/D ENDO DUAL LV 8","$6,311.75"
"LEAD, C/D ENDO DUAL LV 9","$12,623.75"
"LEAD, C/D ENDO DUAL LV 10","$18,081.00"
"LEAD, C/D ENDO DUAL LV 11","$36,162.00"
"LEAD, C/D ENDO DUAL LV 12","$54,243.00"
"LEAD, C/O OTHER LV 2",$70.25
"LEAD, C/O OTHER LV 3",$140.75
"LEAD, C/O OTHER LV 4",$281.25
"LEAD, C/O OTHER LV 5",$703.00
"LEAD, C/O OTHER LV 6","$1,262.25"
"LEAD, C/O OTHER LV 7","$2,524.75"
"LEAD, C/O OTHER LV 8","$6,311.75"
"LEAD, C/O OTHER LV 9","$12,623.75"
"LEAD, C/O OTHER LV 10","$18,081.00"
"LEAD, NEUROSTIM KIT LV 2",$70.25
"LEAD, NEUROSTIM KIT LV 3",$140.75
"LEAD, NEUROSTIM KIT LV 4",$281.25
"LEAD, NEUROSTIM KIT LV 5",$703.00
"LEAD, NEUROSTIM KIT LV 6","$1,262.25"
"LEAD, NEUROSTIM KIT LV 7","$2,524.75"
"LEAD, NEUROSTIM KIT LV 8","$6,311.75"
"LEAD, NEUROSTIM KIT LV 9","$12,623.75"
"LEAD, NEUROSTIM KIT LV 10","$18,081.00"
"LEAD, PACE OTH VDD SNG LV 2",$70.25
"LEAD, PACE OTH VDD SNG LV 3",$140.75
"LEAD, PACE OTH VDD SNG LV 4",$281.25
"LEAD, PACE OTH VDD SNG LV 5",$703.00
"LEAD, PACE OTH VDD SNG LV 6","$1,262.25"
"LEAD, PACE OTH VDD SNG LV 7","$2,524.75"
"LEAD, PACE OTH VDD SNG LV 8","$6,311.75"
"LEAD, PACE OTH VDD SNG LV 9","$12,623.75"
"LEAD, PACE OTH VDD SNG LV 10","$18,081.00"
"LEAD, LEFT VENT COR VEN LV 2",$70.25
"LEAD, LEFT VENT COR VEN LV 3",$140.75
"LEAD, LEFT VENT COR VEN LV 4",$281.25
"LEAD, LEFT VENT COR VEN LV 5",$703.00
"LEAD, LEFT VENT COR VEN LV 6","$1,262.25"
"LEAD, LEFT VENT COR VEN LV 7","$2,524.75"
"LEAD, LEFT VENT COR VEN LV 8","$6,311.75"
"LEAD, LEFT VENT COR VEN LV 9","$12,623.75"
"LEAD, LEFT VENT COR VEN LV 10","$18,081.00"
"SEALANT, PULM LIQ LV 2",$70.25
"SEALANT, PULM LIQ LV 3",$140.75
"SEALANT, PULM LIQ LV 4",$281.25
"SEALANT, PULM LIQ LV 5",$703.00
"SEALANT, PULM LIQ LV 6","$1,262.25"
"SEALANT, PULM LIQ LV 7","$2,524.75"
"SEALANT, PULM LIQ LV 8","$6,311.75"
"SEALANT, PULM LIQ LV 9","$12,623.75"
"SEALANT, PULM LIQ LV 10","$18,081.00"
"STENT, NONCOR TEMP W/O LV 2",$70.25
"STENT, NONCOR TEMP W/O LV 3",$140.75
"STENT, NONCOR TEMP W/O LV 4",$281.25
"STENT, NONCOR TEMP W/O LV 5",$703.00
"STENT, NONCOR TEMP W/O LV 6","$1,262.25"
"STENT, NONCOR TEMP W/O LV 7","$2,524.75"
"STENT, NONCOR TEMP W/O LV 8","$6,311.75"
"STENT, NONCOR TEMP W/O LV 9","$12,623.75"
"STENT, NONCOR TEMP W/O LV 10","$18,081.00"
"PACE, SNG LV 2",$70.25
"PACE, SNG LV 3",$140.75
"PACE, SNG LV 4",$281.25
"PACE, SNG LV 5",$703.00
"PACE, SNG LV 6","$1,262.25"
"PACE, SNG LV 7","$2,524.75"
"PACE, SNG LV 8","$6,311.75"
"PACE, SNG LV 9","$12,623.75"
"PACE, SNG LV 10","$18,081.00"
"PACE, OTH SNG OR DUAL LV 2",$70.25
"PACE, OTH SNG OR DUAL LV 3",$140.75
"PACE, OTH SNG OR DUAL LV 4",$281.25
"PACE, OTH SNG OR DUAL LV 5",$703.00
"PACE, OTH SNG OR DUAL LV 6","$1,262.25"
"PACE, OTH SNG OR DUAL LV 7","$2,524.75"
"PACE, OTH SNG OR DUAL LV 8","$6,311.75"
"PACE, OTH SNG OR DUAL LV 9","$12,623.75"
"PACE, OTH SNG OR DUAL LV 10","$18,081.00"
"PACE, OTH SNG OR DUAL LV 11","$36,162.00"
PENILE PROSTHESIS NONINF LV 2,$70.25
PENILE PROSTHESIS NONINF LV 3,$140.75
PENILE PROSTHESIS NONINF LV 4,$281.25
PENILE PROSTHESIS NONINF LV 5,$703.00
PENILE PROSTHESIS NONINF LV 6,"$1,262.25"
PENILE PROSTHESIS NONINF LV 7,"$2,524.75"
PENILE PROSTHESIS NONINF LV 8,"$6,311.75"
PENILE PROSTHESIS NONINF LV 9,"$12,623.75"
PENILE PROSTHESIS NONINF LV 10,"$18,081.00"
"STENT, NONCOR TEMP W/D LV 2",$70.25
"STENT, NONCOR TEMP W/D LV 3",$140.75
"STENT, NONCOR TEMP W/D LV 4",$281.25
"STENT, NONCOR TEMP W/D LV 5",$703.00
"STENT, NONCOR TEMP W/D LV 6","$1,262.25"
"STENT, NONCOR TEMP W/D LV 7","$2,524.75"
"STENT, NONCOR TEMP W/D LV 8","$6,311.75"
"STENT, NONCOR TEMP W/D LV 9","$12,623.75"
"STENT, NONCOR TEMP W/D LV 10","$18,081.00"
