CULLMAN REGIONAL CDM,,
ID,Charge Description, Charge Amount 
11547,CARBAMIDE PEROXIDE (DEBROX) 6.5% 15ML,$8.21 
11548,DEXAMETHASONE(DECADRON)OPHT SOL 0.1% 5ML,$63.34 
11549,DIBUCAINE (NUPERCAINAL) 1% OINT 56.7GM,$25.81 
11550,DICLOFENAC (VOLTAREN) 0.1% OPH SOL 2.5ML,$73.90 
11551,SODIUM HYPOCHLORI(DAKINS)1/10 STR 1000ML,$24.63 
11552,SODIUM HYPOCHLORIT (DAKINS) 0.125% 480ML,$24.63 
11553,PHENOL 1.5% TOPICAL SOLN: 30ML,$51.20 
11554,DORZOLAMI/TIMOLOL (COSOPT) OPH SOL 0.2ML,$3.83 
11555,ECONAZOLE (SPECTAZOLE) 1% CREAM 30GM,$42.23 
11556,LIDOCAINE/PRILOCAINE (EMLA) 2.5% CR 5GM,$32.84 
11557,EPLERENONE (INSPRA) 25MG TAB,$10.42 
11558,ERYTHROMYCIN 0.5% OPH OINT 3.5GM,$39.88 
11559,ERYTHROMYCIN 0.5% OPH OINT 1GM,$39.88 
11560,ESTRADIOL (ESTRACE) 0.01% VAG CREAM 42GM,$849.20 
11561,ESTRADIOL (CLIMARA) PATCH 0.075MG/DAY,$12.24 
11562,ESTRADIOL (CLIMARA) PATCH 0.1MG/DAY,$14.08 
11563,ESTRADIOL (CLIMARA) PATCH 0.05MG/DAY,$14.08 
11564,EYE-STREAM OPHTH SOLN 30ML,$29.33 
11565,fentaNYL (DURAGESIC) 100MCG PATCH,$161.87 
11566,EYE KIT FOR SURGERY,$142.80 
11567,fentaNYL (DURAGESIC) 25MCG PATCH,$59.82 
11568,fentaNYL (DURAGESIC) 50MCG PATCH,$79.76 
11569,fentaNYL (DURAGESIC) 12MCG PATCH,$25.00 
11570,fentaNYL (DURAGESIC) 75MCG PATCH,$125.51 
11571,FLUOR-I-STRIP OPTH : EACH,$19.94 
11572,FLUORESCEIN/BENOXINATE (ATAFLUOR) 0.25ML,$5.50 
11573,GENTIAN VIOLET 1% SOLN: 60ML,$12.24 
11574,GENTAMICIN (GARAMYCIN) 0.3% OPHT SOL 5ML,$64.52 
11575,GENTAMICIN (GARAMYCIN) 0.1% CREAM 15GM,$63.24 
11576,GENTAMICIN (GARAMYCIN) 0.1% OINT 15GM,$123.45 
11577,GENTEAL OPHTH GEL : 3.5G,$46.10 
11578,GENTAMICIN (GENTAK) 0.3% OPTH OINT 3.5GM,$64.52 
11579,GRANULEX SPRAY 60ML,$95.01 
11580,BALSAM PE/CASTOR OIL (VENELEX) OINT 60GM,$47.23 
11581,HYDROCORTISONE (HYTONE) 1% CREAM 30GM,$12.90 
11582,HYDROGEN PEROXIDE SOLUTION 3% 480ML,$10.56 
11583,ACETAMINOPHEN (TYLENOL) 120MG SUPP,$8.21 
11584,ACETAMINOPHEN (TYLENOL) 325MG SUPP,$8.21 
11585,ACETAMINOPHEN (TYLENOL) 650MG SUPP,$8.21 
11586,HYDROCORTISONE (ANALPRAM-HC)2.5% CR 30GM,$78.54 
11587,HYDROCORTISONE (COLOCORT) ENEMA 60ML,$35.19 
11588,PRAMOXINE-HC (ANALPRAM-HC) 1% CREAM 30GM,$90.32 
11589,ANUSOL HC SUPP,$12.90 
11590,HYDROCORTISONE (HYTONE) 1% OINT 28.35GM,$20.40 
11591,PRAMOXINE HCL (ANUSOL) 1% OINT 30GM,$21.11 
11592,ASPIRIN 300MG SUPP,$8.21 
11593,B & O SUPPOSITORY 16A,$57.85 
11594,BISACODYL (DULCOLAX) 10MG SUPP,$8.21 
11595,C-SECTION PRE-OP MEDS KIT: EACH,$129.03 
11596,EXENATIDE (BYETTA) 5MCG/0.02ML 1.2ML PEN,$671.48 
11597,PRAMLINTIDE (SYMLIN) 120MCG PEN,$400.95 
11598,FOSPHENYTOIN (CereBYX) 500MG PE/10ML VL,$205.28 
11599,FOSPHENYTOIN (CereBYX) 100MG PE/2ML VL,$68.03 
11600,DINOPROSTONE (CERVIDIL) 10MG VAG INSERT,$448.80 
11601,LANTHANUM CARBONATE (FOSRENOL) 500MG TAB,$8.21 
11602,MORPHINE 10MG/ML VL,$39.88 
11603,FLUTICASONE (FLONASE) 50MCG NASAL SPRAY,$215.83 
11604,NAFCILLIN (UNIPEN) 1GM ADV,$39.88 
11605,OCTREOTIDE (SANDOSTATIN) 500MCG/ML AMP,$167.74 
11606,OXACILLIN 2GM VL,$34.68 
11607,IMMUNE GLOBULIN (GAMMAGARD) 10% 10GM VL,"$2,000.00 "
11608,GLUTAMINE PLUS POWDER : 120GM,$26.98 
11609,GLUTAMINE POWDER(SYMPT-X GI)PACKET: 10GM,$8.21 
11610,COLESEVELAM (WELCHOL) 625MG TAB,$8.21 
11611,ACETYLCYSTEINE (MUCOMYST) 20% 4ML NEB VL,$39.30 
11612,VERAPAMIL SR (CALAN SR) 120MG TAB,$8.21 
11613,VERAPAMIL (ISOPTIN/CALAN) 80MG TAB,$8.21 
11614,ISOSORBIDE DINITRATE (ISORDIL) 5MG TAB,$8.21 
11615,IMMUNE GLOBULIN (OCTAGAM) 5% 10GM VL,"$1,491.38 "
11616,IMMUNE GLOBULIN (GAMMAGARD) 10% 20GM VL,"$4,200.00 "
11617,IMMUNE GLOBULIN (GAMMAGARD) 10% 5GM VL,"$1,000.00 "
11618,IMMUNE GLOBULIN (GAMMAGARD) 10% 30GM VL,"$11,756.70 "
11619,IMMUNE GLOBULIN (OCTAGAM) 10% 20GM VL,"$8,554.20 "
11620,IMMUNE GLOBULIN (OCTAGAM) 10% 5GM VL,"$2,138.55 "
11621,IMMUNE GLOBULIN (OCTAGAM) 10% 10GM VL,"$4,277.10 "
11622,IMMUNE GLOBULIN (PRIVIGEN) 10% 10GM VL,"$4,170.00 "
11623,IMMUNE GLOBULIN (PRIVIGEN) 10% 20GM VL,"$8,340.00 "
11624,OSELTAMIVIR (TAMIFLU) 30MG/5ML SUSP UD,$35.82 
11625,EMPTY STERILE IV BAG,$6.30 
11626,FLEET ENEMA 133ML,$7.14 
11627,LIRAGLUTIDE(VICTOZA) SQ 6MG/ML 2 PEN/BOX,$627.93 
11628,NYSTATIN/TRIAMCIN (MYCOLOG II) OINT 15GM,$8.21 
11629,GUAR GUM (BENEFIBER) PWD 0.14OZ PACKET,$8.21 
11630,NAPROXEN (ALEVE ARTHRITIS) 220MG TAB,$8.21 
11631,ATORVASTATIN (LIPITOR) 10MG TAB,$8.21 
11632,NYSTATIN/TRIAMCIN (MYCOLOG II) CR 15GM,$68.37 
11633,BACITRACIN 500UNITS/GM UD OINT,$8.21 
11634,LIDOCAINE MPF (XYLOCAINE) 1% 2ML AMP,$8.21 
11635,MAGNESIUM CITRATE (CITROMA) 300ML BTL,$8.21 
11636,LIDOCAINE MPF (XYLOCAINE) 1% 5ML AMP,$8.21 
11637,DIVALPROEX (DEPAKOTE SPRINKLE) 125MG CAP,$8.21 
11638,MULTIVITAMIN/VIT C (OCUVITE) TAB,$8.21 
11639,METFORMIN XR (GLUCOPHAGE XR) 750MG TAB,$8.21 
11640,LIDOCAINE (XYLOCAINE) 1% 10ML VL,$7.14 
11641,LIDOCAINE MPF (XYLOCAINE) 2% 2ML AMP,$8.21 
11642,LIDOCAINE MPF (XYLOCAINE) 2% 2ML VL,$9.38 
11643,LIDOCAINE MPF (XYLOCAINE) 2% 10ML  AMP,$21.11 
11644,LIDOCAINE (XYLOCAINE) 5%/D7.5W 2ML AMP,$12.58 
11645,SMX/TMP(BACTRIM DS) 800/160MG TAB,$8.21 
11646,DULOXETINE (CYMBALTA) 30MG CAP,$14.81 
11647,DULOXETINE (CYMBALTA) 60MG CAP,$19.25 
11648,SODIUM HYPOCHLORIT (DAKINS) 0.25% 480ML,$24.63 
11649,GENTAMICIN (GARAMYCIN) 40MG/ML 20ML VL,$39.88 
11650,ALBUTEROL (PROVENTIL) 4MG TAB,$8.21 
11651,PENTOXIFYLLINE ER (TRENTAL) 400MG TAB,$8.21 
11652,LIOTHYRONINE (cytoMEL) 5MCG TAB,$8.21 
11653,LIOTHYRONINE (cytoMEL) 25MCG TAB,$8.21 
11654,SOD/POT PHOS (NEUTRA-PHOS) 2.25OZ PKT,$8.21 
11655,PENICILLIN V K (PEN-VK) 250MG TAB,$8.21 
11656,MOMETASONE (NASONEX) SPRAY 0.05MG/ACT,$218.39 
11657,FUROSEMIDE (LASIX) 20MG/2ML VL,$39.88 
11658,AMMONIUM LACTATE(LAC-HYDRIN) 12% LOT,$45.90 
11659,TRIPLE DYE APPLICATOR 0.65ML UD,$11.69 
11660,BUDESONIDE (PULMICORT) 0.5MG/2ML NEB,$139.58 
11661,BUDESONIDE (PULMICORT) 0.25MG/2ML NEB,$139.58 
11662,CEFDINIR (OMNICEF) 250MG/5ML SUSP 60ML,$271.79 
11663,IRON DEXTRAN COMPLEX (INFED)100MG/2ML VL,$110.26 
11664,CEFDINIR (OMNICEF) 300MG CAP,$9.38 
11665,BENZOCAINE (BABY ORAJEL) 10% 0.18OZ,$14.08 
11666,NITAZOXANIDE (ALINIA) 500MG TAB,$175.24 
11667,DULOXETINE (CYMBALTA) 20MG CAP,$14.81 
11668,METRONIDAZOLE 0.75% VAGINAL GEL 70GM,$99.71 
11669,MICONAZOLE (MONISTAT) 200MG VAGINAL SUPP,$92.82 
11670,METHENAMINE HIPPURATE (HIPREX) 1GM TAB,$14.57 
11671,PHENYLEPHRINE NASAL DROPS 1% 30ML,$12.03 
11672,PHENYLEPH (NEO-SYNEPHRINE)SPRAY 0.25%,$10.91 
11673,PHENYLEPH (NEO-SYNEPHRINE) 0.5% SPY 15ML,$10.56 
11674,LIDOCAINE MPF (XYLOCAINE) 2% 5ML VL,$9.38 
11675,NEOMYCIN POWDER 10GM EACH,$17.34 
11676,PHENYLEPH (NEO-SYNEPHRINE) 10MG/ML AMP,$39.88 
11677,NITRAZINE PAPER 1 ROLL APPROX.90 STRIPS,$85.68 
11678,NEO-SYNEPHRINE/D5W SYRINGES: 1MG/10ML,$52.75 
11679,TRAVOPROST (TRAVATAN-Z) 0.004% OPHTH 5ML,$355.98 
11680,PHENYLEPHRINE 100MCG/ML 10ML SYR,$10.64 
11681,PHENYLEPHRINE 0.125% NASAL DROPS 15ML,$15.70 
11682,DORNASE ALFA (PULMOZYME) INH SOLN 2.5ML,$200.40 
11683,TOBRAMYCIN 300MG/NS 7.5ML NEB,$229.60 
11684,PREPARATION H OINT 57 GM,$25.81 
11685,PREPARATION H SUPP,$7.14 
11686,PRAMOXINE/HC (PROCTOFOAM-HC) 1% 10GM,$155.68 
11687,PRAMOXINE/HC (PROCTO-HC)CREAM 2.5% 30GM,$104.55 
11688,PROMETHAZINE (PHENERGAN) 12.5 MG SUPP,$10.56 
11689,PROMETHAZINE (PHENERGAN) 25MG SUPP,$10.56 
11690,BUDESONIDE (PULMICORT) 90MCG FLEXHALER,$203.00 
11691,DIMETHYL SULOXIDE (RIMSO-50) 50ML VL,"$1,705.68 "
11692,SULFANILAMIDE (AVC) 15% VAG CREAM 120GM,$678.25 
11693,DIAZEPAM (DIASTAT) RECTAL GEL 2.5MG,"$1,122.45 "
11694,HYDROMORPHONE (DILAUDID)  2MG TAB,$8.21 
11695,GLYCERIN PEDIATRIC RECTAL SUPP,$8.21 
11696,GLYCERIN ADULT RECTAL SUPP,$8.21 
11697,DUTASTERIDE (AVODART) 0.5MG CAP,$8.39 
11698,CHLORHEXIDINE GLUCONATE LIQ 0.12% 473ML,$30.79 
11699,RISPERIDONE (RISPERDAL) 0.25MG TAB,$8.21 
11700,CLINDAMYCIN (CLEOCIN) 300MG CAP,$8.21 
11701,CIPROFLOXACIN XR (CIPRO XR) 500MG TAB,$25.41 
11702,ABHR GEL TOPICAL SYR,$58.65 
11703,BETAMETHASONE (CELESTONE) 6MG/ML 1ML VL,$30.90 
11704,ABH GEL TOPICAL SYR,$58.65 
11705,ADH GEL TOPICAL SYR,$86.70 
11706,STERILE WATER FOR IRR W/HNG 1000ML,$39.88 
11707,PANTOPRAZOLE (PROTONIX) 40MG VL,$78.59 
11708,HEMORRHOID (ANUSOL) RECTAL SUPP,$8.21 
11709,PROPRANOLOL (INDERAL)TAB: 80MG,$8.21 
11710,SUPRANE 1/4 HR ANES CHARGE,$140.38 
11711,ULTANE 1/4 HR ANES CHARGE,$153.12 
11712,FORANE 1/4 HR ANES CHARGE,$17.60 
11713,MISOPROSTOL (cytoTEC) 25MCG TAB,$8.21 
11714,PANCRELIPASE (PANCREASE MT-10) CAP,$8.21 
11715,NEOMYCIN SUSPENSION: 125MG/5ML  30ML,$11.73 
11716,KAO-TIN (KAOPECTATE) SUSP 30ML,$8.21 
11717,POLYMYXI B/TRIMET (POLYTRIM)OPH SOL10ML,$51.61 
11718,BELLADON AL/PB (DONNATAL) ELIXIR 5ML UD,$45.10 
11719,INDOCYANINE GREEN (IC-GREEN) 25MG VL,$247.40 
11720,COLLAGENASE (SANTYL) 250UN/GM OINT 30GM,$645.00 
11721,TRYPAN BLUE(VISIONBLUE) 0.06% SYR,$144.48 
11722,ADHR GEL TOPICAL SYR,$58.65 
11723,ATIVAN GEL TOPICAL: 1MG/1ML 5ML SYRINGE,$58.65 
11724,MITOMYCIN (MUTAMYCIN) 40MG VL,$625.00 
11725,CHLORHEXIDINE GLUCONATE 0.12% 15ML UD,$1.50 
11726,BETAMETHASONE (CELESTONE) 12MG/2ML SYR,$61.80 
11727,AMYL/LIP/PROTEASE (CREON) 12000UNITS CAP,$8.78 
11728,METHOHEXITAL SODIUM (BREVITAL) 500MG VL,$156.74 
11729,LORAZEPAM GEL TOPICAL SYRINGE,$58.65 
11730,TACROLIMUS (PROGRAF) 0.5MG CAP,$8.00 
11731,MOXIFLOXACIN (VIGAMOX) OPTH SOL 3ML,$146.63 
11732,URSODIOL (ACTIGALL) 300MG CAP,$7.14 
11733,DIPHENOXALATE/ATROPINE (LOMOTIL) TAB,$8.21 
11734,DIPHENOXYL/ATROPINE (LOMOTIL) LIQ 5ML UD,$7.14 
11735,DIPHENOXALATE/ATROPINE (LOMOTIL)LIQ:60ML,$23.46 
11736,MAGIC MOUTHWASH 5ML UD,$8.21 
11737,MAGIC MOUTHWASH WITH NYSTATIN 5ML UD,$10.56 
11738,GENTAMICIN (GARAMYCIN) 120MG/NS 100ML,$39.88 
11739,CHLORASEPTIC THROAT SPRAY 180ML,$26.98 
11740,CHLORDIAZEPOXIDE (LIBRIUM) 25MG CAP,$8.21 
11741,CHLORDIAZEPOXIDE (LIBRIUM) 5MG CAP,$7.14 
11742,CHLORPROMAZINE (THORAZINE) 10MG TAB,$7.14 
11743,CHLORPROMAZINE (THORAZINE) 25MG TAB,$8.21 
11744,CHLORTHALIDONE (THALITONE) 25MG TAB,$7.14 
11745,CHOLESTYRAMINE (QUESTRAN LIGHT) PACKET,$8.21 
11746,GLUTAMINE (GLUTAPAK) 15GM PACKET,$8.21 
11747,CILOSTAZOL (PLETAL) 50MG TAB,$8.21 
11748,CIPROFLOXACIN(CIPRO)SUS: 250MG/5ML 100ML,$152.49 
11749,CIPROFLOXACIN (CIPRO) 250MG TAB,$19.94 
11750,CIPROFLOXACIN (CIPRO) 750MG TAB,$31.67 
11751,CALCIUM CIT/VIT D (CITRACAL+D) TAB,$8.21 
11752,CLARITHROMYCIN XL (BIAXIN XL) 500MG TAB,$8.21 
11753,CITALOPRAM (CeleXA) 20MG TAB,$8.21 
11754,CLARITHROMYCIN (BIAXIN) 250MG TAB,$12.24 
11755,LORATADINE/PSEU(CLARITIN-D 12)TAB: 5/120,$8.21 
11756,LORATADINE/PSEU(CLARITIN-D 24)TAB:10/240,$8.21 
11757,DESLORATIDINE (CLARINEX) 5MG TAB,$8.21 
11758,CLARITHROMYCIN(BIAXIN)SUS:250MG/5ML 50ML,$119.34 
11759,CLINDAMYCIN (CLEOCIN) 150MG CAP,$12.90 
11760,CLINDAMYCIN (CLEOCIN) SUSP 15MG/ML 100ML,$80.76 
11761,SINCALIDE (KINEVAC) 5MCG VL,$195.62 
11762,clonazePAM (KLONOPIN) 0.5MG TAB,$8.21 
11763,clonazePAM (KLONOPIN) 1MG TAB,$8.21 
11764,cloNIDine (CATAPRES) 0.1MG TAB,$8.21 
11765,CLOPIDOGREL (PLAVIX) 75MG TAB,$17.03 
11766,PRASUGREL (EFFIENT) 10MG TAB,$13.16 
11767,RIVAROXABAN (XARELTO) 10MG TAB,$41.91 
11768,RIVAROXABAN (XARELTO) 15MG TAB,$41.91 
11769,CLORAZEPATE (TRANXENE) 3.75MG TAB,$7.14 
11770,CLOTRIMAZOLE (MYCELEX) 10MG TROCHE,$8.21 
11771,CODEINE SULFATE 30MG TAB,$8.21 
11772,COLCHICINE (COLCRYS) 0.6MG TAB,$8.21 
11773,COLESTIPOL (COLESTID) 1GM TAB,$8.21 
11774,CONJ ESTROGEN (PREMARIN) 0.625MG TAB,$8.21 
11775,CONJ ESTROGEN (PREMARIN) 0.9MG TAB,$8.21 
11776,NEO/POLYM/HC(CORTISPORIN)OTIC SOLN 10ML,$87.98 
11777,NEO/POYLM/HC(CORTISPORIN) OTIC SUSP 10ML,$76.50 
11778,HYDROCORTISONE (CORTEF) 5MG TAB,$7.14 
11779,NEO/POLYM/DEX (MAXITROL) OPH SUSP 5ML,$42.00 
11780,CYANOCOBALAMIN (VIT B-12) 100MCG TAB,$8.21 
11781,CYANOCOBALAMIN (VIT B-12) 500MCG TAB,$8.21 
11782,TOLVAPTAN (SAMSCA) 15MG TAB,$607.89 
11783,TOLVAPTAN (SAMSCA) 30MG TAB,"$1,215.78 "
11784,CYCLOBENZAPRINE (FLEXERIL) 10MG TAB,$8.21 
11785,CYCLOSPORINE ORAL SOL 100MG/ML,$239.18 
11786,CYCLOSPORINE MODIFIED (NEORAL) 25MG CAP,$8.21 
11787,CYPROHEPTADINE (PERIACTIN) 2MG/5ML UD,$8.21 
11788,CYPROHEPTADINE (PERIACTIN) 4MG TAB,$8.21 
11789,DAPSONE 25MG TAB,$8.21 
11790,DAPTOMYCIN (CUBICIN) 500MG VL,"$1,336.55 "
11791,DAPTOMYCIN (CUBICIN) 1MG,$2.03 
11792,DAPTOMYCIN (CUBICIN) 1MG JW,$2.03 
11793,DEMECLOCYCLINE (DECLOMYCIN) 150MG CAP,$13.75 
11794,DESIPRAMINE (NORPRAMIN) 25MG TAB,$8.21 
11795,DEXTROAMPHETAMINE (DEXEDRINE) 5MG TAB,$8.21 
11796,DEXAMETHASONE (DECADRON) 0.5MG TAB,$8.21 
11797,DEXAMETHASONE INTENSOL 1MG/ML UD LIQUID,$8.00 
11798,DEXAMETHASONE (DECADRON) 4MG TAB,$8.21 
11799,D-AMPHET/AMPHETAMINE (ADDERALL) 5MG TAB,$8.21 
11800,D-AMPHET/AMPHETAMINE (ADDERALL) 10MG TAB,$8.21 
11801,DIAZEPAM (VALIUM) 10MG TAB,$8.21 
11802,DIAZEPAM (VALIUM) 2MG TAB,$8.21 
11803,DIAZEPAM (VALIUM) 5MG/5ML LIQ,$8.90 
11804,DICLOFENAC SODIUM (VOLTAREN) 50MG TAB,$8.21 
11805,DICLOFENAC XR (VOLTAREN XR) 100MG TAB,$8.21 
11806,DICLOFENAC SODIUM (VOLTAREN) 75MG TAB,$8.21 
11807,DICLOXACILLIN (DYNAPEN) 250MG CAP,$11.22 
11808,DICYCLOMINE (BENTYL) 10MG CAP,$8.21 
11809,DIFLUNISAL (DOLOBID) 500MG TAB,$7.14 
11810,DIGOXIN (LANOXIN) 0.125MG TAB,$8.21 
11811,DILTIAZEM CD (CARDIZEM CD) 120MG CAP,$8.21 
11812,DILTIAZEM CD (CARDIZEM CD) 180MG CAP,$8.21 
11813,DILTIAZEM (CARDIZEM) 30MG TAB,$8.21 
11814,DILTIAZEM CD (CARDIZEM CD) 300MG CAP,$10.56 
11815,DILTIAZEM SR (CARDIZEM SR) 60MG CAP,$7.14 
11816,DILTIAZEM SR (CARDIZEM SR) 90MG CAP,$8.21 
11817,DILTIAZEM (CARDIZEM) 90MG TAB,$8.21 
11818,DIPHENHYDRAMINE (BENADRYL) 25MG/10ML UD,$8.21 
11819,DIPHENHYDRAMINE 12.5MG/5ML ORAL LIQ BULK,$8.21 
11820,DIPHENHYDRAMINE (BENADRYL) 2% CREAM 1OZ,$11.73 
11821,DIPYRIDAMOLE (PERSANTINE) 25MG TAB,$8.21 
11822,REGADENOSON (LEXISCAN) 0.08MG/ML 5ML SYR,$779.77 
11823,DIPYRIDAMOLE (PERSANTINE) 75MG TAB,$8.21 
11824,MULTIVITAMIN (MVI-12) 10ML VL,$606.87 
11825,MULTIVITAMIN (THERAGRAN) TAB,$8.21 
11826,NAFCILLIN (UNIPEN) 2GM ADD VL,$131.38 
11827,NITROGLYCERIN 50MG/250ML PREMIX,$36.00 
11828,NITROGLYCERIN/D5W SYRINGE: 2MG/20ML,$34.68 
11829,NITROGLYCERIN 25MG/250ML PREMIX (PAPA),$36.00 
11830,NITROGLYCERIN (TRIDIL) 50MG/10ML VL,$78.13 
11831,NITROPRUSSIDE (NIPRIDE) 50MG/2ML VL,"$1,540.83 "
11832,SODIUM CHLORIDE 0.9% 10ML VL,$8.21 
11833,ONDANSETRON (ZOFRAN) 4MG/2ML VL,$91.49 
11834,OXACILLIN 1GM VL,$82.62 
11835,PANTOPRAZOLE (PROTONIX) 40MG/NS 50ML PD,$91.02 
11836,PAMIDRONATE (AREDIA) 30MG/10ML VL,$680.34 
11837,PANTOPRAZOLE (PROTONIX) VIAL 40MG/10ML,$78.59 
11838,PENICILLIN G POTASSIUM VL 20MMU  40ML,$23.64 
11839,PHENOBARBITAL 65MG/ML VL,$43.40 
11840,PHENTOLAMINE (REGITINE) 5MG VL,"$1,275.00 "
11841,POTASSIUM ACETATE 40MEQ/20ML VL,$43.40 
11842,POTASSIUM CHLORIDE 40MEQ/20ML VL,$12.30 
11843,SILDENAFIL CITRATE (REVATIO) 20MG TAB,$41.57 
11844,POTASSIUM CHLORIDE 20MEQ/10ML VL,$39.88 
11845,POTASSIUM PHOSPHATE 66MEQ VL,$46.25 
11846,IMIPENEM/CILASTATIN (PRIMAXIN) 250MG ADV,$107.92 
11847,IMIPENEM/CILASTATIN (PRIMAXIN) 500MG VL,$97.95 
11848,KCL 40MEQ/NS 250ML PD,$28.22 
11849,PROTAMINE 250MG/25ML VL,$110.58 
11850,DORIPENEM (DORIBAX) 500MG VL,$92.55 
11851,PROPOFOL (DIPRIVAN) 1000MG/100ML VL,$363.00 
11852,ALPHA-1 PROTEINASE (PROLASTIN) 500MG VL,$551.75 
11853,PROTAMINE 50MG/5ML VL,$63.34 
11854,DORIPENEM (DORIBAX) 250MG VL,$50.45 
11855,ALPHA-1 PROTEINASE (GLASSIA) 1GM/50ML VL,"$1,225.00 "
11856,rifAMPin (RIFADIN) 600MG VL,$557.18 
11857,RILUZOLE (RILUTEK) 50MG TAB,$46.20 
11858,KCL 30MEQ IN D5W/0.45% NS 1000ML,$22.09 
11859,SODIUM ACETATE 40MEQ/20ML VL,$39.88 
11860,KCL 40MEQ/0.9% NS 1000ML,$75.07 
11861,SODIUM BICARB NEONATAL 4.2% 10ML SYR,$43.40 
11862,KCL 40MEQ IN D5W/0.9% NS 1000ML,$20.97 
11863,SODIUM BICARBONATE VIAL 4.2% 5ML,$19.94 
11864,SODIUM BICARBONATE 8.4% 50ML VL,$39.88 
11865,SODIUM CHLORIDE 0.45% 1000ML,$77.42 
11866,SODIUM CHLORIDE 0.9% 25ML,$39.88 
11867,SOD TETRADECYL (SOTRADECOL) 10MG/ML 2ML,$60.40 
11868,SODIUM CHLORIDE 0.45% 500ML,$78.59 
11869,SODIUM BICARBONATE 8.4% 50ML SYR,$81.90 
11870,SODIUM CHLORIDE 0.9% 100ML,$73.90 
11871,SODIUM CHLORIDE 0.9% 1000ML,$73.90 
11872,SODIUM CHLORIDE 0.9% 150ML,$73.90 
11873,SODIUM CHLORIDE 3% 500ML,$75.07 
11874,SODIUM CHLORIDE 0.9% 250ML,$15.75 
11875,SODIUM CHLORIDE 0.9% 50ML,$73.90 
11876,SODIUM CHLORIDE 0.9% 500ML,$73.90 
11877,SODIUM CHLORIDE 0.9% 100ML ADDV,$77.42 
11878,SODIUM CHLORIDE 0.9% 50ML ADDV,$77.42 
11879,SODIUM CHLORIDE 0.9% 250ML ADDV,$77.42 
11880,SODIUM CHLORIDE 0.9% 15ML NEB,$39.88 
11881,SODIUM CHLORIDE 23.4% 4MEQ/ML 30ML VL,$51.61 
11882,SODIUM CHLORIDE 14.6% 2.5MEQ/ML 40ML VL,$44.00 
11883,SODIUM CHLORIDE 0.9% 50ML MINIPLUS,$37.25 
11884,SODIUM CHLORIDE 0.9% 100ML MINIPLUS,$37.25 
11885,DEXTROSE 5% WATER 50ML MINIPLUS BAG,$37.25 
11886,DEXTROSE 5% WATER 100ML MINIPLUS BAG,$37.25 
11887,ALPHA-1 PROTEINASE (HUMAN) 1000MG VL,"$1,000.00 "
11888,SODIUM PHOSPHATE 45MMOL/15ML VL,$46.25 
11889,STERILE WATER FOR INJ 10ML VL,$14.08 
11890,STERILE WATER FOR INJ 50ML VL,$39.88 
11891,STERILE WATER FOR INJECTION 1000ML,$77.42 
11892,SUFENTANIL (SUFenta) 100MCG/2ML AMP,$107.92 
11893,SULFAMETH/TMP (BACTRIM) 10ML VL,$143.11 
11894,TENECTPLASE (TNKASE) 50MG VL,"$16,133.58 "
11895,TENECTPLASE (TNKASE) 1MG,$202.92 
11896,TENECTPLASE (TNKASE) 1MG JW,$202.92 
11897,TOBRAMYCIN (NEBCIN) 1.2GM/30ML VL,$508.98 
11898,traMADol ER (ULTRAM ER) 100MG TAB,$8.21 
11899,TRACE ELEMENTS (MULTITRACE-4) 10ML VL,$38.71 
11900,traMADol (ULTRAM) 50MG TAB,$8.21 
11901,TRACE ELEM(MULTITRACE-5) 10ML VL 1ML CHG,$2.92 
11902,traMADol/APAP (ULTRACET) 37.5/325MG TAB,$8.21 
11903,VALPROATE SODIUM (DEPACON) 500MG/5ML VL,$48.09 
11904,VANCOMYCIN 1GM VL,$289.73 
11905,VANCOMYCIN (VANOCIN) 1GM ADD,$314.36 
11906,VANCOMYCIN 1 GM CHARGE (FROM 5GM VIAL),$314.36 
11907,VANCOMYCIN 500MG VL,$32.07 
11908,VEAL EYE KIT FOR SURGERY,$656.88 
11909,VASOPRESSIN (VASOSTRICT) 20UNITS/ML VL,$456.54 
11910,VANCOMYCIN OPHTH DROPS: 1MG/0.1ML  10ML,$26.52 
11911,VECURONIUM (NORCURON) 10MG VL,$180.64 
11912,VANCOMYCIN (VANCOCIN) 750MG ADV VL,$20.68 
11913,VANCOMYCIN OPHTH DROPS: 5MG/0.1ML  10ML,$26.52 
11914,VANCOMYCIN (VANCOCIN) 750MG/250ML PD,$295.76 
11915,VERAPAMIL (ISOPTIN/CALAN) 5MG/2ML VL,$48.96 
11916,VANCOMYCIN OPHTH DROPS: 25mg/ML  15ML,$26.52 
11917,GENTAMICIN OPHTH SOLN 15MG/ML 15ML,$64.52 
11918,VORICONAZOLE (VFEND) 200MG VL,$319.88 
11919,VORICONAZOLE (VFEND) SUSP: 40MG/ML 75ML,"$2,026.93 "
11920,VORICONAZOLE (VFEND) 10MG,$5.39 
11921,VORICONAZOLE (VFEND) 10MG JW,$5.39 
11922,PIPERACILLIN/TAZO (ZOSYN) 3.375GM VL,$104.40 
11923,ZOLEDRONIC ACID (ZOMETA) 4MG/NS 100ML,$540.00 
11924,ZOLEDRONIC ACID (RECLAST) 5MG/100ML,"$2,512.30 "
11925,PROPOFOL (DIPRIVAN) 100MG/10ML VL,$9.00 
11926,ZOLEDRONIC ACID (ZOMETA) 4MG/5ML VL,$690.00 
