Hospital Name:  AHMC WHITTIER HOSPITAL MEDICAL CENTER,,,
OSHPD Facility No: 106190883,,,
"Effective Date of Charges: June 1, 2018",,,
5121039,*HEPATITIS PANEL ACUTE*,$31.89,
5121040,*ANTI-THYROID AB*,$6.17,
5121041,PLATELET AB DIRECT*,$19.80,
5121043,*FLUOROCYTOSIN LEVEL*,$65.00,
5121044,ANTI-THROMBIN III ACTIVITY*,$33.00,
5121045,HOMOCYSTEINE CARDIOVASCULAR*,$13.23,
5121046,ANTI-THROMBIN III ANTIGEN*,$29.85,
5121048,HEPARIN-INDUCED PLATELET AB*,$13.20,
5121050,*ACETONE SERUM QUEST,$13.67,
5121052,AMPHETAMINES,$54.93,
5121053,ACID PHOS PROSTATIC*,$9.76,
5121054,*AMOXAPINE*,$22.25,
5121055,ACETYLCHOL RECEPT AB,$40.00,
5121056,"AMINO ACID, URINE*",$17.50,
5121057,*ACETONE UR,$19.39,
5121058,*RUSSELL VIPER VENOM TIME*,$20.00,
5121059,*ALPRAZOLAM*,$23.22,
5121060,PARVOVIRUS IGG B19 AB*,$12.55,
5121061,HISTONE AB*,$70.58,
5121062,H PYLORI AB IGG*,$114.00,
5121063,*ANTI-DNA AB SINGLE STRAND*,$86.00,
5121064,ASPERGILLUS AB 2,$4.60,
5121066,*ANTIBODY VIRUS*,$9.14,
5121067,"AMINO ACID, PLASMA >6 QUANT*",$15.41,
5121069,*LEPTOSPIRA AB*,$13.67,
5121070,*BENZTORPINE*,$66.00,
5121072,*BARBITURATE SCREEN*,$18.55,
5121075,BLASTOMYCOSIS AB*,$13.67,
5121076,*VARICELLA ZOSTER AB*,$78.00,
5121077,"SJOGREN'S AB SS-A, SS-B PANEL*",$0.00,
5121079,*PLATELET NEUTRALIZATION,$38.00,
5121080,*BARBITURATES QUANT*,$19.53,
5121086,*BENZENE*,$64.00,
5121087,ARSENIC URINE RANDOM*,$23.99,
5121089,*APT,$10.39,
5121091,BETA-2-MICROGLOBULIN*,$12.50,
5121093,*BROMIDE SERUM*,$56.90,
5121094,*BETA-2-MICROGLOBULIN,$12.50,
5121095,*CA 125 ROUTINE*,$6.82,
5121097,CA IONIZED*,$15.41,
5121098,BLOOD ALCOHOL,$13.67,
5121099,*C DIFF TOXIN B ONLY*,$22.59,
5121100,CA 27-29*,$17.16,
5121102,*CARB MON-CARB HGB*,$12.27,
5121104,*MARIJUANA,$15.13,
5121105,CA 19-9*,$10.82,
5121108,CANDIDA ANTIBODY*,$24.61,
5121109,CA 15-3*,$12.02,
5121110,*CARBAMAZEPINE,$8.66,
5121111,CHLAMYDIA TRACHOMATUS DFA*,$8.66,
5121112,CATECHOLAMINES RANDOM URINE FRACT*,$32.92,
5121114,CATECHOLAMINES PLASMA FRACT*,$50.00,
5121115,*CHLAMYDIA AB IGM*,$48.00,
5121116,CATECHOLAMINES  24 HR UR FRACT*,$35.99,
5121117,CHLAMYDOPHILA PSITTACI AB IGGAM*,$17.50,
5121118,CAROTENE SERUM*,$12.27,
5121119,CHLORIDE 24 URINE*,$21.20,
5121120,CMV AB IGG&IGM*,$31.14,
5121121,CMV AB IGM*,$15.13,
5121122,*CMV DNA PCR CSF,$125.00,
5121123,CMV AB IGG*,$15.53,
5121124,CMV DNA PCR QUANT*,$117.48,
5121126,CMV CULTURE*,$38.15,
5121127,CLOMIPRAMINE LEVEL*,$51.48,
5121129,CITRIC ACID RANDOM URINE*,$31.68,
5121130,*COMA PANEL,$174.96,
5121131,COPPER URINE 24 HR*,$10.88,
5121132,COCCIDIOIDES AB CF SERUM*,$17.85,
5121133,COMPLEMENT TOTAL CH50*,$21.20,
5121134,*COCAINE QUANT,$19.53,
5121135,CENTROMERE AB SCREEN*,$59.40,
5121136,*COCAINE QNT UR,$19.53,
5121141,CORTISOL 24 HR URINE*,$67.58,
5121142,COXSACKIE B AB PANEL*,$43.52,
5121144,*COXSACKIE A,$43.50,
5121145,*CORTISOL PLASMA,$15.13,
5121150,CRYPTOCOCCUS AB SERUM*,$15.20,
5121152,CRYOGLOBULINS/W REFLEX*,$21.20,
5121154,*CPK ISOENZYMES,$14.30,
5121155,*ANTI-THYROID MICROSOMAL AB*,$6.17,
5121156,*COXSACKIE B AB NEUTRALIZATION,$43.52,
5121158,SMOOTH MUSCLE (ACTIN)  IGG AB*,$10.00,
5121161,*NIACIN*,$40.00,
5121163,LYMPHOCYTE SUBSET PANEL 3*,$51.33,
5121165,*LYMPHOCYTE SUBSET PANEL 4*,$42.24,
5121169,SOMATOSTATIN*,$112.20,
5121170,*CULT C DIFF*,$12.55,
5121171,HERPES SIMPLEX 1&2 IGM AB*,$37.10,
5121173,HERPES SIMPLEX 1&2 IGG AB*,$13.67,
5121176,*HERPES SIMPLEX AB,$20.36,
5121178,*TRYPSIN FECES QUAL*,$45.31,
5121179,*HERPES SIMPLEX TYPE 2,$11.68,
5121180,RETICULIN ANTIBODY*,$14.00,
5121182,*RIBOSOMAL AB,$55.44,
5121184,*COCCI ID AB*,$13.67,
5121185,*TSH TO UCI,$30.96,
5121186,CALCIUM*,$18.00,
5121187,OSMOLALITY FECES*,$11.58,
5121188,CHLORIDE FLUID REF LAB*,$155.00,
5121189,*CHLORIDE FECES*,$15.00,
5121190,CARBAMAZEPINE FREE*,$66.00,
5121197,BETA 2 GLYCOPROTEIN I IGA*,$20.00,
5121211,*SHIGA TOXINS*,$20.00,
5121213,*HEP BSAG NEUTRALIZATION*,$7.24,
5121214,"*PNEUMOCYSTIS CARINII AG, DFA*",$41.08,
5121217,ENTAMOEBA HISTOLYTICA ANTIGEN*,$36.50,
5121218,*PINWORM EXAM CELLO TAPE,$5.09,
5121219,ALPHA-1-ANTITRYPSIN PHENOTYPE*,$80.74,
5121221,*BF ALBUMIN,$6.28,
5121223,METHYLMALONIC ACID*,$40.00,
5121225,*HEP B SURF AB QUANT*,$8.00,
5121226,ADENOVIRUS AG DFA*,$20.36,
5121227,HEP C RNA bDNA QUANT*,$130.00,
5121229,GLUCOSE BODY FLUID REF LAB,$5.63,
5121245,MUMPS AB IGG*,$16.53,
5121246,RIBOSOMAL P AB *,$88.20,
5121256,HEP C RNA GENOTYPE LIPA*,$275.00,
5121273,TOPIRAMATE*,$48.50,
5121275,SMITH/RNP ENA AB*,$10.00,
5121281,"HYDROXYPROLINE, PLASMA*",$32.64,
5121290,BILE ACIDS*,$120.61,
5121294,CULT FUNGUS BLOOD*,$10.00,
5121298,PROINSULIN*,$91.08,
5121300,FACTOR XIII ACTIVITY*,$18.90,
5121330,REVERSE T3*,$26.93,
5121336,VARICELLA ZTR IGG*,$4.60,
5121337,HEP B DNA QUANT PCR*,$126.56,
5121338,H PYLORI AB IGA*,$30.00,
5121344,ANCA W/REFLEX*,$36.00,
5121346,*ANCA IBD TITER CHARGE,$75.00,
5121348,ANCA W/MPO&PR3*,$77.71,
5121352,*HEP C RNA PCR QUAL*,$80.00,
5121380,PARVOVIRUS IGM B19 AB*,$120.00,
5121402,PLATELET AB INDIRECT IGG*,$13.20,
5121404,MUMPS AB IGM*,$16.81,
5121407,*SULFONLYUREA,$84.48,
5121432,CYSTICERCOSIS AB*,$58.50,
5121440,INSULIN-LIKE GROWTH FACTOR*,$27.72,
5121442,LAMOTRIGINE*,$53.75,
5121444,EPINEPHRINE PLASMA*,$145.00,
5121446,NOREPINEPHRINE PLASMA*,$61.30,
5121448,ROCKY MOUNTAIN SPOT FEVER*,$18.69,
5121450,HEP E AB IGG*,$59.90,
5121451,SJOGRENS SS-B,$16.00,
5121452,VARICELLA ZTR AG DFA*,$11.92,
5121453,SJOGRENS SS-A,$8.40,
5121454,*BRUCELLA AB IGM*,$28.00,
5121455,HIV-1 RNA PCR QT (VIRAL LOAD)*,$88.00,
5121456,*BRUCELLA AB IGG*,$28.00,
5121457,HIV-1 RNA QUAL TMA*,$349.00,
5121458,HEP E AB IGM*,$40.29,
5121459,HIV-1 DNA PCR QUAL*,$105.00,
5121460,FEBRILE AGGLU - BACTRIUM,$1.95,
5121461,*COXSACK B 4 CF*,$7.25,
5121462,FEBRILE AGGLU - BACTERIUM,$1.95,
5121463,*COXSACK B 3 CF*,$7.25,
5121464,*ANCA TITER REFLEX CHARGE,$22.00,
5121465,*COXSACK B 2 CF*,$7.25,
5121466,*COXSACK B 6 CF*,$7.25,
5121467,*COXSACK B 1 CF*,$7.26,
5121468,*COXSACK B 5 CF*,$7.25,
5121469,*CLORAZEPATE*,$38.15,
5121470,FEBRILE AGGLU - SALMONELL,$1.95,
5121471,METANEPHRINES PLASMA FRACTIONATED*,$55.00,
5121472,FEBRILE AGGLU - SALMONELL,$1.95,
5121473,*RPR TITER CHARGE,$8.50,
5121474,FEBRILE AGGLU - SALMONELL,$1.95,
5121475,FEBRILE AGGLU - SALMONELL,$1.95,
5121476,FEBRILE AGGLU - SALMONELL,$1.95,
5121477,FEBRILE AGGLU - SALMONELL,$1.95,
5121478,FEBRILE AGGLU - BACTERIUM,$1.95,
5121479,TOXOCARA AB*,$50.16,
5121480,*ERLICHIA CHAF AB*,$50.16,
5121481,WEST NILE CSF IGG/IGM AB*,$31.40,
5121483,*WEST NILE IGM SERUM*,$31.40,
5121484,TRYPANOSOMA CRUZI IGG AB*,$45.95,
5121485,WEST NILE SERUM IGG/IGM AB*,$31.40,
5121486,T3 FREE REF LAB*,$28.31,
5121487,ENTEROVIRUS RNA PCR CSF*,$205.18,
5121488,*INFLUENZA H1 GENE*,$97.50,
5121489,*WEST NILE CSF IGM*,$31.40,
5121490,H1N1 PCR*,$195.00,
5121495,INFLUENZA A/B RNA PCR TO QUEST*,$75.00,
5121497,*FISH BCR-ABL-TISSUE CULTURE,$82.50,
5121500,FISH BCR-ABL TRANSLOCATION*,$82.50,
5121501,*TYPHUS IGM AB,$15.00,
5121502,*FISH BCR-ABL-MOLECULAR,$82.50,
5121503,"*CULT FUNGUS SPUTUM,CSF,BF*",$4.81,
5121505,ASPERGILLUS AB 3,$4.60,
5121506,*TYPHUS IGG AB,$14.65,
5121507,ANTIPHOSPHOLIPID ANTIBODIES*,$151.95,
5121508,*FISH BCR-ABL-INTERPRETATION,$82.50,
5121509,"PHOSPHATIDYLSERINE IGA,G&M ABS*",$42.70,
5121511,*HIV-1 P24 AG,$20.23,
5121521,*HBV DNA PCR QUANT*,$4.00,
5121522,"*ALCOHOL, ETHYL BLD QUEST*",$13.67,
5121523,HEP B DNA PCR QUAL*,$85.00,
5121524,"ALCOHOL, ETHANOL (U)",$15.13,
5121525,METHYL ALCOHOL*,$13.67,
5121526,PTH RELATED PROTEIN*,$72.60,
5121527,*ISOPROPYL ALCOHOL(B),$13.67,
5121528,*BF CHOLESTEROL,$3.70,
5121529,"ALCOHOL, ETHYL (U)",$13.67,
5121553,GLIADIN AB IGG*,$25.08,
5121555,ANA*,$6.06,
5121581,CHROMATIN ANTIBODIES*,$88.00,
5121585,"MTB BY PCR, RESPIRATORY*",$100.00,
5121587,CCP ANTIBODY IGG*,$18.00,
5121589,SUSCEP MAI COMPLEX MIC*,$19.73,
5121590,HEP C RNA PCR QUANT*,$115.00,
5121591,*HCV BDNA*,$130.00,
5121592,*POTASSIUM FECES*,$25.00,
5121593,ESTRONE*,$28.18,
5121595,"SODIUM, FECES, QUANT",$26.00,
5121597,FACTOR VIII ACTIVITY*,$55.83,
5121599,H PYLORI AG STOOL*,$23.76,
5121601,"CHLAMYDIA/GC DNA PROBE, GENITAL*",$15.00,
5121602,VITAMIN K*,$99.00,
5121603,LIPOPROTEIN A*,$21.00,
5121604,CHLAMYDIA/GC URINE RNA TMA*,$15.00,
5121605,ADENOVIRUS STOOL AG*,$23.95,
5121606,*STREP PNEUMONIA URINE ANTIGEN*,$48.50,
5121607,LYME DISEASE DNA CSF BY PCR*,$255.00,
5121608,CHROMOGRANIN A*,$72.60,
5121609,*HIV AG/AB SCREEN 1&2*,$8.23,
5121610,NOROVIRUS RNA PCR STOOL*,$196.30,
5121611,VASOACTIVE INTESTIONAL POLYPEPTIDE*,$41.28,
5121612,*CULT E COLI 0157*,$10.00,
5121613,*CONCENTRATION FOR INF AGENT*,$30.00,
5121614,PROTEINASE-3 AB*,$25.00,
5121615,MI-2 AUTOANTIBODIES*,$98.00,
5121616,PARIETAL CELL ANTIBODY*,$17.50,
5121617,SARS CORONA VIRUS RNA*,$169.00,
5121618,SEROTONIN RELEASE ASSAY*,$260.00,
5121619,SEX HORMONE BINDING GLOBULIN*,$16.53,
5121620,"TESTOSTERONE, TOTAL*",$9.62,
5121621,VITAMIN B2*,$71.66,
5121622,EBV PCR QUANT*,$255.00,
5121623,PLASMINOGEN ACTIVATOR INHIBITOR AG*,$125.00,
5121624,HISTOPLASMA AB*,$12.55,
5121625,HISTOPLASMA URINE AG*,$81.75,
5121626,IGF BINDING PROTEIN-3*,$48.84,
5121627,PREGABALIN*,$171.00,
5121628,MUMPS DIRECT DETECTION DFA*,$133.50,
5121629,BORDETELLA PERTUSSIS AB*,$0.00,
5121630,JAK-2 MUTATION*,$299.00,
5121631,LEUKEMIA-LYMPHOMA PANEL*,$0.00,
5121632,"LIGHT CHAINS KAPPA/LAMBDA, SERUM PANEL*",$0.00,
5121633,METFORMIN*,$0.00,
5121634,QUANTIFERON TB GOLD*,$61.00,
5121635,MUMPS VIRUS RNA BY PCR*,$135.00,
5121636,"CHLAMYDIA/GC RNA, GENITAL/URINE PANEL*",$0.00,
5121637,*CHLAMYDIA TRACHOMATIS RNA TMA,$20.00,
5121638,*NEISSERIA GONORRHOEAE RNA TMA,$20.00,
5121639,VON WILLEBRAND  AG ACTIVITY*,$112.38,
5121640,LACOSAMIDE*,$77.60,
5121641,ETHYLENE GLYCOL*,$8.30,
5121642,DRUG SCREEN EMPLOYEE,$48.11,
5121643,"CHLAMYDIA/GC RNA, THROAT PANEL*",$40.00,
5121644,"CHLAMYDIA/GC RNA, RECTAL PANEL*",$0.00,
5121645,TISSUE TRANSGLUTAMINASE IGA*,$34.43,
5121646,"MTB PCR, NON RESPIRATORY",$125.00,
5121647,MYCOBACTERIUM BLOOD CULTURE*,$12.26,
5121650,IGG SUBCLASS 4*,$16.11,
5121651,ASPERGILLUS ANTIGEN*,$97.50,
5121652,HERPES/VARICELLA CULTURE*,$107.75,
5121653,EGFR,$574.00,
5121700,CULT FUNGUS SKIN HAIR NAILS*,$12.55,
5210001,AHMC-ACUTE HEPATITIS PANEL,$79.80,
5210002,AHMC-ALANINE AMINO (ALT)(SGPT),$8.90,
5210003,"AHMC-ALPHA-FETOPROTEIN,SERUM",$28.10,
5210004,"AHMC-ANTISTREPTOLYSIN O,SCREEN",$9.70,
5210005,"AHMC-ANTISTREPTOLYSIN O, TITER",$12.20,
5210006,AHMC-ASSAY ALKALINE PHOSPHATASE,$11.00,
5210007,AHMC-ASSAY ALKALINE PHOSPHATASES,$24.80,
5210008,AHMC-ASSAY DUODENAL FLUID TRYPSIN,$12.60,
5210009,AHMC-ASSAY OF ACETAMINOPHEN,$33.90,
5210010,AHMC-ASSAY OF ACTH,$64.80,
5210011,AHMC-ASSAY OF AMMONIA,$24.40,
5210012,AHMC-ASSAY OF AMPHETAMINES,$26.10,
5210013,AHMC-ASSAY OF AMYLASE,$10.90,
5210014,AHMC-ASSAY OF BENZODIAZEPINES,$31.00,
5210015,AHMC-ASSAY OF BETA-2 PROTEIN,$27.10,
5210016,AHMC-ASSAY OF BLOOD CHLORIDE,$7.70,
5210017,AHMC-ASSAY OF SERUM OSMOLALITY,$11.10,
5210018,AHMC-ASSAY OF URIC ACID,$7.60,
5210019,"AHMC-ASSAY OF CALCIUM, SERUM",$8.60,
5210020,"AHMC-ASSAY OF CALCIUM, IONIZED",$22.90,
5210021,"AHMC-ASSAY OF CK (CPK), SERUM",$10.90,
5210022,"AHMC-ASSAY OF CPK IN BLOOD, ISOENZYMES",$22.50,
5210023,AHMC-ASSAY OF CREATININE,$8.60,
5210024,AHMC-ASSAY OF CYCLOSPORINE,$30.30,
5210025,AHMC-ASSAY OF DIGOXIN,$22.30,
5210026,AHMC-ASSAY OF ETHANOL,$18.10,
5210027,AHMC-ASSAY OF FERRITIN,$22.80,
5210028,AHMC-ASSAY OF FETAL FIBRONECTIN,$108.00,
5210029,AHMC-ASSAY OF FREE THYROXINE,$15.10,
5210030,AHMC-ASSAY OF GENTAMICIN,$27.50,
5210031,AHMC-ASSAY OF GGT,$12.10,
5210032,AHMC-ASSAY OF HAPTOGLOBINS,$28.80,
5210033,AHMC-ASSAY OF IRON,$10.90,
5210034,AHMC-ASSAY OF LACTIC ACID,$17.90,
5210035,AHMC-ASSAY OF LIPASE,$11.50,
5210036,AHMC-ASSAY OF LITHIUM,$11.10,
5210037,AHMC-ASSAY MAGNESIUM,$11.20,
5210038,AHMC-ASSAY OF MYOGLOBIN,$21.60,
5210039,AHMC-ASSAY OF PARATHORMONE,$69.20,
5210040,AHMC-ASSAY OF PHENOBARBITAL,$19.20,
5210041,AHMC-ASSAY OF PHOSPHORUS,$8.00,
5210042,AHMC-ASSAY OF PLASMA HEMOGLOBIN,$12.30,
5210043,AHMC-ASSAY OF PREALBUMIN,$24.50,
5210044,AHMC-ASSAY OF PROCAINAMIDE,$28.10,
5210045,"AHMC-ASSAY OF PROCAINAMIDE, NAPA",$28.10,
5210046,"AHMC-ASSAY OF PROTEIN, ANY SOURCE",$8.70,
5210047,"AHMC-ASSAY OF PROTEIN, BODY FLUID",$6.10,
5210048,"AHMC-ASSAY OF PROTEIN, SERUM",$6.10,
5210049,"AHMC-ASSAY OF PROTEIN, URINE",$6.10,
5210050,"AHMC-ASSAY OF PSA, TOTAL",$30.80,
5210051,AHMC-ASSAY OF SALICYTATE,$11.90,
5210052,AHMC-ASSAY OF SERUM ALBUMIN,$8.30,
5210053,AHMC-ASSAY OF SERUM POTASSIUM,$7.70,
5210054,AHMC-ASSAY OF SERUM SODIUM,$8.10,
5210055,AHMC-ASSAY OF THEOPHYLINE,$23.70,
5210056,AHMC-ASSAY OF TOBRAMYCIN,$27.00,
5210057,AHMC-ASSAY OF TRANSFERRIN,$21.40,
5210058,AHMC-ASSAY OF TRIGLYCERIDES,$9.60,
5210059,"AHMC-ASSAY OF TROPONIN, QUANT",$16.50,
5210060,AHMC-ASSAY OF URINE CHLORIDE,$8.40,
5210061,AHMC-ASSAY OF URINE CREATININE,$8.70,
5210062,AHMC-ASSAY OF URINE CREATININE,$8.70,
5210063,AHMC-ASSAY OF URINE OSMOLALITY,$11.40,
5210064,AHMC-ASSAY OF URINE POTASSIUM,$7.20,
5210065,AHMC-ASSAY OF URINE SODIUM,$8.10,
5210066,AHMC-ASSAY OF URINE/UREA-N,$8.00,
5210067,AHMC-ASSAY OF URINE/URIC ACID,$8.00,
5210068,AHMC-ASSAY OF VANCOMYCIN,$22.70,
5210069,AHMC-ASSAY THYROID STIM HORMONE,$28.20,
5210070,"AHMC-ASSAY, BLD/SERUM CHOLESTEROL",$7.30,
5210071,"AHMC-ASSAY, BLOOD CARBON DIOXIDE",$8.20,
5210072,"AHMC-ASSAY, CARBAMAZEPINE, TOTAL",$24.40,
5210073,"AHMC-ASSAY, DIPROPYLACETIC ACID",$22.70,
5210074,"AHMC-ASSAY, GLUCOSE, BLOOD QUANT",$6.60,
5210075,"AHMC-ASSAY, TRIODOTHYRONINE (T3)",$23.80,
5210076,AHMC-AUTOMATED DIFF WBC COUNT,$10.80,
5210077,AHMC-AUTOMATED LEUKOCYTE COUNT,$4.30,
5210078,AHMC-AUTOMATED PLATELET COUNT,$7.50,
5210079,AHMC-AUTOMATED RBC COUNT,$5.00,
5210080,AHMC-AUTOMATED RETICULOCYTE COUNT,$6.70,
5210081,AHMC-B-12 BINDING CAPACITY,$24.00,
5210082,"AHMC-BILIRUBIN, DIRECT",$8.40,
5210083,"AHMC-BILIRUBIN, TOTAL",$8.40,
5210084,AHMC-BLOOD FOLIC ACID SERUM,$24.60,
5210085,"AHMC-BLOOD SEROLOGY, QUALITATIVE",$7.20,
5210086,AHMC-CA 125,$28.10,
5210087,AHMC-CA 19 9,$28.10,
5210088,AHMC-CARCINOEMBRYONIC ANTIGEN,$31.80,
5210089,AHMC-CBC WITHOUT PLATELET,$10.80,
5210090,AHMC-CBC/DIFFWBC W/O PLATELET,$13.00,
5210091,AHMC-CKMB,$19.40,
5210092,AHMC-COMPLETE CBC W/AUTO DIFF WBC,$13.00,
5210093,"AHMC-COMPLETE CBC, AUTOMATED",$10.80,
5210094,AHMC-COMPREHEN METABOLIC PANEL,$17.70,
5210095,AHMC-CORTISOL SERUM,$28.00,
5210096,AHMC-C-REACTIVE PROTEIN,$8.70,
5210097,"AHMC-C-REACTIVE PROTEIN, HS",$21.70,
5210098,"AHMC-CREATINE, MB FRACTION",$19.40,
5210099,AHMC-CREATINE CLEARANCE TEST,$15.80,
5210100,"AHMC-CULTURE BACTERIA, EXCEPT BLOOD",$15.90,
5210101,AHMC-CULTURE AEROBIC IDENTITY,$13.50,
5210102,"AHMC-CULTURE ANAEROBE IDENT, EACH",$13.50,
5210103,AHMC-CULTURE SCREEN ONLY,$11.10,
5210104,"AHMC-CULTURE, BACTERIA, OTHER",$14.40,
5210105,"AHMC-DRUG SCREEN, QUALITATE/MULTI",$24.40,
5210106,"AHMC-DRUG SCREEN, SINGLE",$23.10,
5210107,AHMC-ELECTROLYTE PANEL,$11.80,
5210108,"AHMC-FECES CULTURE, BACTERIA",$15.80,
5210109,AHMC-FETAL FIBRONECTION,$225.00,
5210110,AHMC-FIBRIN DEGRADATION PRODUCTS,$11.00,
5210111,"AHMC-FIBRIN DEGRADATION, QUANT",$17.10,
5210112,"AHMC-FIBRIN DEGRADATION, SEMIQUANT",$12.00,
5210113,AHMC-FIBRINOGEN TEST,$19.00,
5210114,AHMC-FREE ASSAY (FT-3),$28.40,
5210115,AHMC-GLUCOSE BLOOD TEST,$3.90,
5210116,AHMC-GLUCOSE OTHER FLUID,$6.60,
5210117,AHMC-GLUCOSE TEST,$8.00,
5210118,AHMC-GLYCOSYLATED HEMOGLOBIN TEST,$16.30,
5210119,AHMC-GLYCOSYLATED HEMOGLOBIN TEST,$16.30,
5210120,AHMC-HEMATOCRIT,$4.00,
5210121,AHMC-HEMOGLOBIN,$4.00,
5210122,"AHMC-HEP A ANTIBODY, TOTAL",$20.80,
5210123,AHMC-HEP B SURFACE ANTIBODY,$18.00,
5210124,AHMC-HEPARIN ASSAY,$21.90,
5210125,AHMC-HEPATIC FUNCTION PANEL,$13.70,
5210126,"AHMC-HEPATITIS B SURFACE AG, EIA",$17.30,
5210127,AHMC-HEPATITIS C AB TEST,$23.90,
5210128,AHMC-HETEROPHILE ANTIBODIES,$8.70,
5210129,AHMC-HIV-1,$14.90,
5210130,"AHMC-IMMUNOASSAY, TUMOR, CA 125",$34.90,
5210131,"AHMC-IMMUNOASSAY, TUMOR, CA 15-3",$34.90,
5210132,"AHMC-IMMUNOASSAY, TUMOR, CA 19-9",$34.90,
5210133,AHMC-IRON BINDING TEST,$11.70,
5210134,AHMC-LACTATE (LD) (LDH) ENZYME,$10.10,
5210135,AHMC-LIPID PANEL,$22.50,
5210136,AHMC-METABOLIC PANEL IONIZED CA,$36.60,
5210137,AHMC-METABOLIC PANEL TOTAL CA,$14.20,
5210138,"AHMC-MICROBE SUSCEPTIBLE, DIFFUSE",$2.70,
5210139,"AHMC-MICROBE SUSCEPTIBLE, DISK",$11.60,
5210140,"AHMC-MICROBE SUSCEPTIBLE, ENZYME",$2.70,
5210141,"AHMC-MICROBE SUSCEPTIBLE, MIC",$14.50,
5210142,AHMC-NATRIURETIC PEPTIDE,$56.90,
5210143,AHMC-PARTICLE AGGLUTINATION TEST,$17.10,
5210144,AHMC-PLATELET FUNCTION,$65.00,
5210145,AHMC-PROTHROMBIN TEST,$6.60,
5210146,AHMC-PROTHROMBIN TIME,$6.60,
5210147,AHMC-PSA SCREENING,$30.80,
5210148,AHMC-REAGENT STRIP/BLOOD GLUCOSE,$5.30,
5210149,AHMC-RENAL FUNCTION PANEL,$14.60,
5210150,"AHMC-RESP SYNCYTIAL AG, EIA",$15.60,
5210151,AHMC-RHEUMATOID FACTOR TEST,$9.50,
5210152,"AHMC-RHEUMATOID FACTOR, QUANT",$9.50,
5210153,AHMC-RUBELLA ANTIBODY,$24.10,
5210154,AHMC-RUBEOLA ANTIBODY,$21.60,
5210155,"AHMC-SMEAR, FLUORESCENT/ACID STAI",$9.00,
5210156,"AHMC-SMEAR, GRAM STAIN",$7.20,
5210157,AHMC-TEST FOR ACETONE/KETONES,$7.60,
5210158,"AHMC-THROMBOPLASTIN TIME, PARTIAL",$10.10,
5210159,AHMC-TOTAL CORTISOL,$27.30,
5210160,AHMC-TRANSFERASE (AST) (SGOT),$8.70,
5210161,AHMC-TROPONIN,$16.50,
5210162,AHMC-URINE BACTERIA CULTURE,$11.00,
5210163,AHMC-URINE PREGNANCY TEST,$3.90,
5210164,AHMC-VALPROCIC ACID,$25.30,
5210165,AHMC-VARICELLA-ZOSTER ANTIBODY,$21.60,
5210166,AHMC-VITAMIN B-12,$25.30,
5210167,AHMC-AMIKACIN,$25.30,
5210168,AHMC ESRD PANEL,$0.00,
5210169,AHMC-HEPATITIS B CORE IGM ANTIBODY,$19.70,
5621974,.PTA INJ FEMORAL/ POPLITEAL:SP,$6606.00,
5622217,PTA PERIPH EA ADD,$0.00,
5623251,.INTRO CATH AV SHUNT:SP,$842.00,
5623253,.INTRO CATH AV SHUNT ADD +:SP,$1614.00,
5623255,.PTA BRACHIOCEPH/VESSEL:SP,$18900.00,
5623257,PTA VENOUS,$18900.00,
5623421,ANGIO PERC TRNS COR SING MAJ COR ART/BRN,$21050.00,
5623423,ANGIO PERC TRNS COR  EA ADDIT BRANC/ART,$21050.00,
5623425,ANGIO PERC TRNS COR W/COR SING ART/BRN,$21050.00,
5623427,ANGIO PERC TRNS COR W/COR SING ART/BRN,$21050.00,
5623429,PERC TRNS CAT PL OF INTR ST W/COR ART/BR,$21050.00,
5623431,PERC TRNS CAT PL OR INT ST W/COR EA ADD,$21050.00,
5623433,PERC TRNS COR ARTH W/INTR STNT W/COR ANG,$21050.00,
5623435,PERC TRNS COR ART W/INTR ST EA ADD BRANC,$21050.00,
5623437,PERT REV OR THR COR ART BYP GFT ANY CMB,$21050.00,
5623439,PERT REV OR THR ART BYP GFT ANY  EA ADD,$21050.00,
5623441,PER TRNS REV OF ACT TOT/SUB  OCC ACT MYO,$21050.00,
5623443,PER TRNS REV OF CHR TOT OC COR ART/BRNC,$21050.00,
5623445,PER TRN REV OF CHR TOT OC COR ART EA ADD,$21050.00,
5625217,.PTA ILIAC REVASC INIT VESSEL:SP,$21050.00,
5625219,.PTA ILIAC REVASC INIT VESSEL W/STENT:SP,$21050.00,
5625221,.PTA ILIAC REVASC EA ADD VESSEL:SP,$21050.00,
5625223,.PTA ILIAC REVASC EA ADD VESS W/STNT:SP,$21050.00,
5625225,.PTA FEM/POPL REVASC INIT VESSEL:SP,$21050.00,
5625226,.PTA FEM/POP REVASC EA ADD VESSEL:SP,$10525.00,
5625227,.PTA FEM/POPL REVASC W/ATHR SAME VESS:SP,$44477.00,
5625229,.PTA FEM/POPL REVASC W/STNT SAME VSSL:SP,$44477.00,
5625231,.PTA FEM/POPL REVAS STNT&ATHER SM VES:SP,$44477.00,
5625233,.PTA TIB/PER REVASC INIT VESSEL:SP,$21050.00,
5625235,.PTA TIB/PER REVASC W/ATHER SM VSSL:SP,$44477.00,
5625237,.PTA TIB/PER REVASC W/STENT SM VESSL:SP,$44477.00,
5625239,.PTA TIB/PER REVASC STNT&ATHR SM VSSL:SP,$21050.00,
5625241,.PTA TIB/PER REVASC EA ADD VESSEL:SP,$21050.00,
