Ventura County Medical Center (106560481),,
Charge Description Master,,
,,
Description,FY -17 Facility Rate,FY-17 Professional Rate
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 24mm,380,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 26mm,380,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 30mm,380,
Distal Radius 2.4mm Cortex Screw Self-Tapping with T8 Stardrive Recess 6mm,183,
Distal Radius 2.4mm Cortex Screw Self-Tapping with T8 Stardrive Recess 8mm,183,
Distal Radius 2.4mm Cortex Screw Self-Tapping with T8 Stardrive Recess 12mm,183,
Distal Radius 2.4mm Cortex Screw Self-Tapping with T8 Stardrive Recess 14mm,183,
Distal Radius 2.4mm Cortex Screw Self-Tapping with T8 Stardrive Recess 16mm,183,
Distal Radius 2.4mm Cortex Screw Self-Tapping with T8 Stardrive Recess 18mm,183,
Distal Radius 2.7mm Cortex Screw Self-Tapping with T8 Stardrive Recess 10mm,183,
Distal Radius 2.7mm Cortex Screw Self-Tapping with T8 Stardrive Recess 12mm,183,
Distal Radius 2.7mm Cortex Screw Self-Tapping with T8 Stardrive Recess 14mm,183,
Distal Radius 2.7mm Cortex Screw Self-Tapping with T8 Stardrive Recess 16mm,183,
Distal Radius 2.7mm Cortex Screw Self-Tapping with T8 Stardrive Recess 18mm,183,
Distal Radius 2.7mm Cortex Screw Self-Tapping with T8 Stardrive Recess 22mm,183,
Distal Radius 2.7mm Cortex Screw Self-Tapping with T8 Stardrive Recess 24mm,183,
Distal Radius 2.7mm Cortex Screw Self-Tapping with T8 Stardrive Recess 26mm,183,
Distal Radius 2.7mm Cortex Screw Self-Tapping with T8 Stardrive Recess 28mm,183,
Distal Radius 2.7mm Cortex Screw Self-Tapping with T8 Stardrive Recess 30mm,183,
Distal Radius 2.4mm VA Locking Screw Stardrive 8mm,438,
Distal Radius 2.4mm VA Locking Screw Stardrive 10mm,438,
Distal Radius 2.4mm VA Locking Screw Stardrive 12mm,438,
Distal Radius 2.4mm VA Locking Screw Stardrive 14mm,438,
Distal Radius 2.4mm VA Locking Screw Stardrive 16mm,438,
Distal Radius 2.4mm VA Locking Screw Stardrive 18mm,438,
Distal Radius 2.4mm VA Locking Screw Stardrive 20mm,438,
Distal Radius 2.4mm VA Locking Screw Stardrive 24mm,438,
Distal Radius 2.4mm VA Locking Screw Stardrive 28mm,438,
Distal Radius 2.4mm VA Locking Screw Stardrive 30mm,438,
Distal Radius Locking Pegs T7 2.0x18mm,451,
Distal Radius Locking Pegs T7 2.0x20mm,451,
Distal Radius Locking Pegs T7 2.0x22mm,451,
Distal Radius Locking Pegs T7 2.0x24mm,369,
Distal Radius Locking Pegs T7 2.0x26mm,369,
Distal Radius Bone Screw T7 2.3x10mm,491,
Distal Radius Bone Screw T7 2.3x12mm,491,
Distal Radius Bone Screw T7 2.3x14mm,491,
Distal Radius Bone Screw T7 2.3x16mm,491,
Distal Radius Bone Screw T7 2.3x18mm,491,
Distal Radius Bone Screw T7 2.3x20mm,491,
Distal Radius Bone Screw T7 2.3x22mm,491,
Distal Radius Bone Screw T7 2.3x24mm,491,
Distal Radius Bone Screw T7 2.3x26mm,491,
Distal Radius Bone Screw T7 2.3x28mm,491,
Distal Radius Bone Screw T7 2.3x30mm,491,
Distal Radius Bone Screw T7 2.3x32mm,491,
Distal Radius Bone Screw T7 2.3x34mm,491,
Distal Radius Bone Screw T7 2.3x36mm,491,
Distal Radius Bone Screw T7 2.3x38mm,491,
Distal Radius Locking Screws T7 2.3x10mm,617,
Distal Radius Locking Screws T7 2.3x12mm,617,
Distal Radius Locking Screws T7 2.3x14mm,617,
Distal Radius Locking Screws T7 2.3x16mm,617,
Distal Radius Locking Screws T7 2.3x18mm,617,
Distal Radius Locking Screws T7 2.3x20mm,617,
Distal Radius Locking Screws T7 2.3x22mm,617,
Distal Radius Locking Screws T7 2.3x24mm,617,
Distal Radius Locking Screws T7 2.3x26mm,617,
Distal Radius Locking Screws T7 2.3x28mm,617,
Distal Radius Locking Screws T7 2.3x30mm,617,
Distal Radius Locking Screws T7 2.3x32mm,617,
Distal Radius Locking Screws T7 2.3x34mm,617,
Distal Radius Locking Screws T7 2.3x36mm,617,
Distal Radius Locking Screws T7 2.3x38mm,617,
Distal Radius Partially Threaded Bone Screw T7 2.7x18,617,
Distal Radius Partially Threaded Bone Screw T7 2.7x20,617,
Distal Radius Partially Threaded Bone Screw T7 2.7x22,617,
Distal Radius Partially Threaded Bone Screw T7 2.7x24,617,
Distal Radius Partially Threaded Bone Screw T7 2.7x26,617,
Distal Radius Bone Screw T7 2.7x10mm,491,
Distal Radius Bone Screw T7 2.7x12mm,491,
Distal Radius Bone Screw T7 2.7x14mm,491,
Distal Radius Bone Screw T7 2.7x16mm,491,
Distal Radius Bone Screw T7 2.7x18mm,491,
Distal Radius Bone Screw T7 2.7x22mm,491,
Distal Radius Bone Screw T7 2.7x24mm,491,
Distal Radius Bone Screw T7 2.7x26mm,491,
Distal Radius Locking Screws T7 2.7x10mm,617,
Distal Radius Locking Screws T7 2.7x12mm,617,
Distal Radius Locking Screws T7 2.7x16mm,617,
Distal Radius Locking Screws T7 2.7x18mm,617,
Distal Radius Locking Screws T7 2.7x20mm,617,
Distal Radius Locking Screws T7 2.7x22mm,617,
Distal Radius Locking Screws T7 2.7x24mm,617,
Distal Radius Locking Screws T7 2.7x26mm,617,
Distal Radius Dorsal Smartlock Plate Standard Right,4454,
Distal Radius Dorsal Smartlock Plate Wide Right,4454,
Distal Radius Dorsal Smartlock Plate Wide Left,4454,
Distal Radius Dorsal Smartlock Plate Standard Right X Long,5038,
Distal Radius Dorsal Smartlock Plate Standard Left X Long,5038,
Distal Radius Dorsal Smartlock Plate Wide Right X Long,5038,
Distal Radius Volar Smartlock DR Plate Narrow Left,4454,
Distal Radius Volar Smartlock DR Plate Narrow Left Long,4454,
Distal Radius Volar Smartlock DR Plate Standard Left,4454,
Distal Radius Volar Smartlock DR Plate Standard Left Long,4454,
Distal Radius Volar Smartlock DR Plate Narrow Right,4454,
Distal Radius Volar Smartlock DR Plate Narrow Right Long,4454,
Distal Radius Volar Smartlock DR Plate Standard Right,4454,
Distal Radius Volar Smartlock DR Plate Standard Right Long,4454,
Distal Radius Volar Smartlock DR Plate Narrow X Long,4245,
Distal Radius Volar Smartlock DR Plate Standard X Long,4245,
Distal Radius Volar Smartlock DR Plate Wide X Long,4245,
Distal Radius Volar Smartlock Plate Narrow Long,3672,
Distal Radius Volar Smartlock Plate Standard Short,3672,
Distal Radius Volar Smartlock Plate Standard Long,3672,
Distal Radius Volar Smartlock Plate Wide Short,3672,
Distal Radius Volar Smartlock Plate Wide Long,3672,
Distal Radius Radial Column Smartlock Plate Long,3016,
Distal Radius Ulnar Column Smartlock Plate Short Left,3016,
Distal Radius Ulnar Column Smartlock Plate Long Right,3016,
Distal Radius Ulnar Column Smartlock Plate Long Left,3016,
"Distal Posterior/Lateral Fibular Plates, 2 Hole, Right, 51mm",1540,
"Distal Posterior/Lateral Fibular Plates, 4 Hole, Right, 74mm",1631,
"Distal Posterior/Lateral Fibular Plates, 6 Hole, Right, 95mm",1757,
"Distal Posterior/Lateral Fibular Plates, 8 Hole, Right, 116mm",1940,
"Distal Posterior/Lateral Fibular Plates, 10 Hole, Right, 136mm",2133,
"Distal Posterior/Lateral Fibular Plates, 12 Hole, Right, 157mm",2341,
"Distal Posterior/Lateral Fibular Plates, 14 Hole, Right, 178mm",2492,
"Distal Posterior/Lateral Fibular Plates, 16 Hole, Right, 199mm",2713,
"Distal Posterior/Lateral Fibular Plates, 18 Hole, Right, 220mm",2932,
"Distal Posterior/Lateral Fibular Plates, 20 Hole, Right, 241mm",3181,
"Distal Posterior/Lateral Fibular Plates, 2 Hole, Left, 51mm",1540,
"Distal Posterior/Lateral Fibular Plates, 4 Hole, Left, 74mm",1631,
"Distal Posterior/Lateral Fibular Plates, 6 Hole, Left, 95mm",1757,
"Distal Posterior/Lateral Fibular Plates, 10 Hole, Left, 136mm",2133,
"Distal Posterior/Lateral Fibular Plates, 12 Hole, Left, 157mm",2341,
"Distal Posterior/Lateral Fibular Plates, 14 Hole, Left, 178mm",2492,
"Distal Posterior/Lateral Fibular Plates, 16 Hole, Left, 199mm",2713,
"Distal Posterior/Lateral Fibular Plates, 18 Hole, Left, 220mm",2932,
"Distal Posterior/Lateral Fibular Plates, 20 Hole, Left, 241mm",3181,
"Distal Lateral Fibular Plates, 2 Hole, Right, 51mm",1540,
"Distal Lateral Fibular Plates, 4 Hole, Right, 73mm",1631,
"Distal Lateral Fibular Plates, 6 Hole, Right, 94mm",1757,
"Distal Lateral Fibular Plates, 8 Hole, Right, 115mm",1940,
"Distal Lateral Fibular Plates, 10 Hole, Right, 135mm",2133,
"Distal Lateral Fibular Plates, 12 Hole, Right, 156mm",2341,
"Distal Lateral Fibular Plates, 14 Hole, Right, 177mm",2492,
"Distal Lateral Fibular Plates, 16 Hole, Right, 198mm",2713,
"Distal Lateral Fibular Plates, 18 Hole, Right, 219mm",2932,
"Distal Lateral Fibular Plates, 20 Hole, Right, 239mm",3181,
"Distal Lateral Fibular Plates, 2 Hole, Left, 51mm",1540,
"Distal Lateral Fibular Plates, 4 Hole, Left, 73mm",1631,
"Distal Lateral Fibular Plates, 6 Hole, Left, 94mm",1757,
"Distal Lateral Fibular Plates, 8 Hole, Left, 115mm",1940,
"Distal Lateral Fibular Plates, 10 Hole, Left, 135mm",2133,
"Distal Lateral Fibular Plates, 12 Hole, Left, 156mm",2341,
"Distal Lateral Fibular Plates, 14 Hole, Left, 177mm",2492,
"Distal Lateral Fibular Plates, 16 Hole, Left, 198mm",2713,
"Distal Lateral Fibular Plates, 20 Hole, Left, 239mm",3181,
"Distal Posterior/Lateral Humeral Plate, 2 Hole, Right, 49mm",2864,
"Distal Posterior/Lateral Humeral Plate, 4 Hole, Right, 70mm",2921,
"Distal Posterior/Lateral Humeral Plate, 6 Hole, Right, 91mm",2966,
"Distal Posterior/Lateral Humeral Plate, 8 Hole, Right, 111mm",3040,
"Distal Posterior/Lateral Humeral Plate, 10 Hole, Right, 132mm",3121,
"Distal Posterior/Lateral Humeral Plate, 14 Hole, Right, 174mm",3410,
"Distal Posterior/Lateral Humeral Plate, 2 Hole, Left, 49mm",2864,
"Distal Posterior/Lateral Humeral Plate, 4 Hole, Left, 70mm",2921,
"Distal Posterior/Lateral Humeral Plate, 6 Hole, Left, 91mm",2966,
"Distal Posterior/Lateral Humeral Plate, 8 Hole, Left, 111mm",3040,
"Distal Posterior/Lateral Humeral Plate, 10 Hole, Left, 132mm",3121,
"Distal Posterior/Lateral Humeral Plate, 12 Hole, Left, 153mm",3237,
"Distal Posterior/Lateral Humeral Plate, 14 Hole, Left, 174mm",3410,
"Distal Small Medial Humeral Plate, 14 Hole, 95mm",1915,
"Distal Small Medial Humeral Plate, 16 Hole, 111mm",1989,
Donaldson Vent Tube (Twin Pack) 1.14mm Silicone,33,
Donaldson Vent Tube with Tab 1.14mm Silicone (Twin Pack),33,
Double Lumen Wire Guided Billroth II Sphinctertome 6Fr.-5Fr./11mm,1175,
Dover Red Rubber Robinson 16 FR,2,
"Doyle II Nasal Septal Splint, Silicone",188,
Dual Lumen Ureteral Catheter 10Fr.,41,
DuraGen Plus Dural Regeneration Matrix 2in.X2in. 5cmX5cm,1673,
DuraGen Plus Dural Regeneration Matrix 3in.X3in. 7.5cmX7.5cm,3035,
Durepair Dura Regeneration Matrix 3X3,2588,
Durepair Dura Regeneration Matrix 4X5,5014,
DynaFlo Bypass Graft with Flex Small Beading 7mm 60cm,7797,
ECHELON 60 ENDOPATH STAPLER LONG LINEAR CUTTER-STRAIGHT,1156,
ECHELON FLEX 45 ARTICULATING ENDOSCOPIC LINEAR CUTTER 45MM,1239,
ECHELON 45 WHITE RELOADS,469,
ECHELON 45 GOLD RELOADS,469,
ECHELON 45 GRAY RELOADS,469,
ECHELON 45 BLUE RELOADS,469,
ECHELON 45 GREEN RELOADS,469,
EDLICH GASTRIC LAVAGE KIT LARGE 34FR. 36IN.,35,
"EDM VENTRICULAR CATHETER, BARIUM IMPREGNANTED, 35CM",558,
EEA CURVED INTRALUMINAL STAPLER (ILS) 29MM,1139,
EEA Curved Intraluminal Stapler (ILS) 25mm,1152,
EEA Curved Intraluminal Stapler (ILS) 33mm,1139,
ELASTIC NAIL 2.5MM TI 440MM,1043,
ELASTIC NAIL 3.0MM TI 440MM,1104,
ELASTIC NAIL 1.5MM TI 300MM,909,
ELASTIC NAIL TITANIUM END CAP 3.0-4.0MM,293,
ELBOW SPLINT SM,41,
ELBOW SPLINT MED,52,
ELECTRODE MONITORING,1,
ELECTRODE DEFIB ADLT,4,
ELECTRODE FETAL SCALP,18,
ELITE PASS SUTURE SHUTTLE NEEDLE,592,
ENDO RETRACT II 10MM,1474,
ENDO GIA UNIVERSAL STAPLER 12MM,1265,
ENDO GIA UNIVERSAL STRAIGHT 45-2.0,1101,
ENDO GIA UNIVERSAL LOADING UNIT 60MM-3.5,1217,
ENDO GIA UNIVERSAL ROTICULATOR 45-4.8/15MM,1714,
ENDO CLIP 5MM,1819,
ENDOPATH 10/12MM BALDELESS TROCAR WITH STABILITY SLEEVE,584,
ENDOPATH XCEL UNIVERSAL TROCAR STABILITY SLEEVE 5MMX100MM,309,
ENDOSTITCH 10MM,1797,
ENDOSTITCH SINGLE STITCH O ES-9,281,
"ENDOSCOPIC LINEAR CUTTER RELOADS GREEN 4.1MM, 6 ROWS",770,
ENEMA PHOSPHATE 4.5oz ADLT,4,
ETS 45 ENDOSCOPIC LINEAR CUTTER 45MM NO CARTRIDGE,479,
ETS-ENDOSCOPIC LINEAR CUTTER 35MM STANDARD,741,
ETS-Endoscopic Linear Cutter 35mm Vascular/Thin,741,
ETS-FLEX ENDOSCOPIC ARTICULATING LINEAR CUTTER 35MM STANDARD,1038,
ETS45 2.5MM RELOADS 45MM VASCULAR/THIN,469,
ETS45 3.5MM RELOADS (STANDARD) 6 ROWS 45MM STANDARD,469,
EVOLVE HEAD 18MM,7065,
EVOLVE HEAD 20MM,7065,
EVOLVE HEAD 22MM,7065,
EVOLVE HEAD 24MM,7065,
EVOLVE HEAD 26MM,7065,
EVOLVE HEAD 28MM,7065,
EVOLVE HEAD 18MM+2,7065,
EVOLVE HEAD 20MM+2,7065,
EVOLVE HEAD 22MM+2,7065,
EVOLVE HEAD 24MM+2,7065,
EVOLVE HEAD 26MM+2,7065,
EVOLVE HEAD 28MM+2,7065,
EVOLVE HEAD 18MM+4,7065,
EVOLVE HEAD 20MM+4,7065,
EVOLVE HEAD 22MM+4,7065,
EVOLVE HEAD 24MM+4,7065,
EVOLVE HEAD 26MM+4,7065,
EVOLVE HEAD 28MM+4,7065,
EVOLVE STEM 4.5MM,8400,
EVOLVE STEM 5.5MM,8400,
EVOLVE STEM 6.5MM,8400,
EVOLVE STEM 7.5MM,8400,
EVOLVE STEM 8.5MM,8400,
EVOLVE STEM 9.5MM,8400,
EVOLVE STEM 4.5MM+2,8400,
EVOLVE STEM 5.5MM+2,8400,
EVOLVE STEM 6.5MM+2,8400,
EVOLVE STEM 7.5MM+2,8400,
EVOLVE STEM 8.5MM+2,8400,
EVOLVE STEM 9.5MM+2,8400,
EVOLVE STEM 4.5MM+4,8400,
EVOLVE STEM 5.5MM+4,8400,
EVOLVE STEM 6.5MM+4,8400,
EVOLVE STEM 7.5MM+4,8400,
EVOLVE STEM 8.5MM+4,8400,
EVOLVE STEM 9.5MM+4,8400,
EZ45 Endoscopic Linear Cutter/Stapler Reloads,592,
EZ45 ENDOSCOPIC LINEAR CUTTER/STAPLER RELOADS-STANDARD,592,
"Echelon 60 Endoscopic Linear Cutter Reloads White 2.5mm, 6 Rows",770,
"Echelon 60 Endoscopic Linear Cutter Reloads Gold 3.8mm, 6 Rows",770,
"Echelon 60 Endoscopic Linear Cutter Reloads Blue 3.5mm, 6 Rows",770,
Elastic Nail 2.0mm TI 440mm,972,
Elastic Nail 3.5mm TI 440mm,1168,
Elastic Nail 4.0mm TI 440mm,1253,
Elastic Nail Titanium End Cap 1.5-2.5mm,281,
Electrical Connector STD; Bipolar Electrohemostasis Catheter 7F x 300 cm,1377,
Elevate System with IntePro Lite Anterior & Apical Prolapse Repair System,4935,
Elevate System with IntePro Lite Apical & Posterior Prolapse Repair System,5807,
Endo GIA Universal Roticulator 60-2.5/15mm,1827,
Endo GIA Universal Roticulator 60-3.5/15mm,1827,
Endo-Scrub 2 Sharpsite AC 4mm 0°,264,
EndoBronchial Tube 37Fr. For Left Intubation,278,
EndoBronchial Tube 39Fr. For Left Intubation,278,
EndoBronchial Tube 41Fr. For Left Intubation,278,
EndoBronchial Tube 35Fr. For Right Intubation,270,
EndoBronchial Tube 41Fr. For Right Intubation,270,
EndoBronchial Tube 39Fr. For Right Intubation,270,
EndoBronchial Tube 37Fr. For Right Intubation,270,
EndoBronchial Tube 35Fr. For Left Intubation,278,
EndoWrist Stapler 45 Instrument,140,
EndoWrist Stapler 30 Curved-Tip Instrument,144,
EndoWrist Stapler 30 Instrument,136,
EndoWrist Stapler Sheath,20,
EndoWrist Stapler 45 Blue Reload,180,
EndoWrist Stapler 45 Green Reload,180,
EndoWrist Stapler 30 Gray Reload,171,
EndoWrist Stapler 30 White Reload,171,
EndoWrist Stapler 30 Blue Reload,171,
EndoWrist Stapler 30 Green Reload,171,
EndoWrist 12 - 8 mm Cannula Reducer,25,
Endopath Xcel Universal Trocar Stability Sleeve 12mmx100mm,325,
Endopath Xcel Universal Trocar Stability Sleeve 11mmx100mm,316,
Endoscopic Linear Cutter Reloads 35mm Vascular/Thin,382,
Endovive Standard PEG Kit 20F Percutaneous Endoscopic Gastronomy Kit,260,
Endozime SLR Endoscopy Bedside Care Kit 500ML,12,
Epistaxis Balloon Cath Kit,35,
Escape Nitinol Stone Retrieval Basket 1.9Fr.x120cm,1409,
Essure System,4418,
Expandable Valvulotome,4452,
Extractor Pro XL Retrieval Balloon Catheter 9mm/12mm,592,
Extractor Pro XL Retrieval Balloon Catheter 12mm/15mm,592,
Extractor Pro XL Retrieval Balloon Catheter 15mm/18mm,592,
F8 LUER LOCK CONNECTOR,198,
"FAST-FIX STRAIGHT NEEDLE DELIVERY SYSTEM, SPLIT CANNULA",1344,
FAST-FIX 360 CURVED NEEDLE DELIVERY SYSTEM,1964,
FAST-FIX 360 STRAIGHT NEEDLE DELIVERY SYSTEM,1964,
"FEMORAL CANAL TIP, IRRIGATION/SUCTION",88,
"FEMORAL HEAD, 44MM OR LARGER",5173,
"FEMORAL HEAD, SMALL",5114,
FILTER BLOOD 40 MICRON IN-LINE,29,
FIXED CORE WIRE GUIDE SAFE T-J CURVED,154,
FIXED CORE WIRE GUIDE STRAIGHT,134,
FLEX ARTICULATING CUTTER 45MM,986,
"FLEXHD 2CMX4CM, THICK",741,
"FLEXHD 4CMX7CM, THICK",3260,
"FLEXHD 6CMX8CM, THICK",5331,
"FLEXHD 6CMX16CM, THICK",10936,
"FLEXHD 8CMX12CM, THICK",11417,
"FLEXHD 8CMX16CM, THICK",15398,
"FLEXHD 16CMX20CM, THICK",36484,
"FLEXHD 20CMX20CM, THICK",43813,
"FLEXHD 20CMX25CM, THICK",54766,
"FLEXHD 20CMX25CM, ULTRA THICK",54766,
FLEXHD BREAST KIT 8CMX16CM,26897,
FLOSEAL HEMOSTATIC MATRIX 5ML,1242,
FLOSEAL HEMOSTATIC MATRIX 10ML,2242,
FOGARTY VENOUS THROMBECTOMY CATHETER 8FR.,372,
"FORTE CANCELLOUS SCREW, 4.0MM X 36MM, FULL THREAD",201,
"FRACTURE PLATE, 8 HOLES, 52MM, NON-COMPRESSION, 2.3MM SYSTEM",844,
"FRACTURE PLATE, CURVED, LONG, NON-COMPRESSION, 2.3MM SYSTEM",601,
"FRACTURE PLATE, CURVED, SHORT, NON-COMPRESSION, 2.3MM SYSTEM",601,
"FRACTURE PLATE, 4 HOLES, 30MM, 2.3MM SYSTEM",921,
"FRACTURE PLATE, 4 HOLES, 35MM, 2.3MM SYSTEM",1046,
"FRACTURE PLATE, 16 HOLES, 103MM, NON-COMPRESSION, 2.3MM SYS",714,
"FRACTURE PLATE, 4 HOLES, 28MM, NON-COMPRESSION, 2.3MM SYSTEM",647,
"FRACTURE PLATE, 4 HOLES, 33MM, NON-COMPRESSION, 2.3MM SYSTEM",886,
"FRACTURE PLATE, 6 HOLES, 43MM, NON-COMPRESSION, 2.3MM SYSTEM",805,
"FRACTURE PLATE, 6 HOLES, 37.8MM, NON-COMPRESSION, 2.3MM SYS",805,
FULL THREAD CANNULATED INTERFERENCE SCREW 9X25MM,329,
Fascial Dilator 10FR(3.3mm),28,
Fathom-16 Straight Tip Steerable Guidewire 180cm x 10cm,1502,
Fenestrated Bipolar Forceps,270,
Fibrillar Absorbable Hemostat,257,
Fogarty Double Hydrajaw Insert Set,142,
"Foley Tray, Hydrogel Coated, Latex",28,
Footprint Ultra PK Suture Anchor 4.5mm,1157,
"Forte Cancellous Screw, 4.0mm x 10mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 12mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 14mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 16mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 18mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 20mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 22mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 24mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 26mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 28mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 30mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 32mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 34mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 36mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 38mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 40mm, Partial Thread",201,
"Forte Cancellous Screw, 4.0mm x 10mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 12mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 14mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 16mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 18mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 20mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 22mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 24mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 26mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 28mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 30mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 32mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 34mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 38mm, Full Thread",201,
"Forte Cancellous Screw, 4.0mm x 40mm, Full Thread",201,
Full Thread Cannulated Interference Screw 7x25mm,329,
Full Thread Cannulated Interference Screw 9x20mm,329,
Full Thread Cannulated Interference Screw 10x25mm,329,
GARMENT STD CALF PR/2,78,
"GAUZE VASELINE 1/2x72 LTX""",4,
"GAUZE VASELINE 1x8 LF""",2,
"GAUZE VASELINE 3x9 FOIL LTX""",3,
GELFILM OPHTHALMIC,413,
GELFOAM SPONGE 12x7MM,56,
GIANNETTI POSTERIOR CAPSULORHEXIS CANNULA 30GA,19,
GII QUICK ANCHOR,1307,
GLASSMAN VISCERA RETAINER FISH LARGE,101,
GORE DUAL MESH BIOMATERIAL 18.0CM X 24.0CM X 2.0MM,8496,
GORE MYCROMESH BIOMATERIAL 15.0CM X 15.0CM X 1.0MM,1106,
GUARD MOUTH ENDO,8,
GUIDEWIRE SPRING DUOFLEX .025,45,
Geenen Pancreatic Stent 5Fr./3cm,226,
Geenen Pancreatic Stent 5Fr./4cm,226,
Geenen Pancreatic Stent 5Fr./5cm,226,
Geenen Pancreatic Stent 5Fr./7cm,226,
Gemini 4 Wire Basket Paired Wire Helical Stone Retrieval Basket 3Fr.x90cm,1063,
Gemini 4 Wire Basket with 5cm Filiform Tip Paired Wire Helical Stone Retrieval Basket 3Fr.x90cm,1063,
Glidewire Stiff Shaft Straight .025,312,
Glidewire Stiff Shaft Angled .025,312,
Glidewire Stiff Shaft Straight .038,312,
Glidewire Stiff Shaft Angled .038,312,
Glidewire Bentson-Type Stiff Shaft Straight .035,312,
Glidewire Bentson-Type Stiff Shaft Angled .035,312,
Glidewire Stiff Shaft Straight .035,312,
Glidewire Stiff Shaft Angled .035,312,
"Gluconate Cloth, Patient Preoperative Skin Preparation",30,
Graspit Nitinol Stone Retrieval Forceps 2.6Fr.x120cm,1285,
Gravity Blood Set w/ Pressure Arterial Blood,24,
Greenen Sof-Flex Pancreatic Stent 5Fr./3cm,226,
Greenen Sof-Flex Pancreatic Stent 5Fr./5cm,226,
Groshong 8Fr. Single-Lumen CV Catheter,1802,
Groshong 9.5Fr. Single-Lumen CV Catheter,2085,
Guidewire .062 x 6in.,46,
Guidewire Threaded .062 x 6in.,145,
GyneCare Gynemesh PS,1474,
GyneCare TVT Obturator System Tension-Free Support,4487,
GyneCare X-Tract Tissue Morcellator 15mm,3406,
HEM-O-LOK NON-ABSORBABLE POLYMER LIGATION CLIPS XL,162,
HEMASHIELD PLATINUM FINESSE CARDIOVASCULAR PATCH,509,
HEMOVAC WOUND DRAINAGE DEVICE 19FR. 400ML,134,
HERBERT CANNULATED BONE SCREW 3.0MM X 22MM,2058,
HUMAN SCLERA - MODEL TSH 7MMX7MM,953,
"HYDRODISSECTION CANNULA 27G, 11MM BEND",14,
Harmonic ACE Curved Shears,545,
Hem-o-lok Non-absorbable Polymer Ligation Clips ML,162,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:12x7mm L:40cm,2671,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:16x9mm L:40cm,2671,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:18x9mm L:40cm,2671,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:20x10mm L:40cm,2671,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:22x11mm L:40cm,2671,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:12x6mm L:40cm,2671,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:14x7mm L:40cm,2671,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:16x8mm L:40cm,2671,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:18x10mm L:40cm,2671,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:6mm L:40cm,1804,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:7mm L:40cm,1804,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:8mm L:40cm,1804,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:24x12mm L:40cm,2671,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:10mm L:30cm,1804,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:12mm L:30cm,1804,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:14mm L:30cm,1867,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:16mm L:30cm,1867,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:18mm L:30cm,1867,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:20mm L:30cm,1867,
Hemashield Gold Knitted Microvel Double Velour Vascular Graft D:22mm L:30cm,1867,
