Charge Description,Charge Amount
DEV MECH XTRT TGHTRL 11F,"30,893.00"
DEV MECH XTRT TGHTRL 20F,"30,893.00"
RING EXFX TRUELCK 180MM ,"30,893.00"
TRIAL SURG 56MM MXTI RT ,"30,974.00"
ELECTRODE PEN 15CM      ,"30,974.00"
CATH NAVI STAR BL CURVE ,"30,974.00"
CTHEP NVS 7F C4 TCP 174 ,"30,974.00"
RESTORE RECHARGER       ,"30,974.00"
CTHEP FRZR 9F MED       ,"30,974.00"
CTHEP NVS 7F D4 TCP 174 ,"30,974.00"
CTHEP NVS 7F F4 TSR 174 ,"30,974.00"
CATH 2-6-2MM D CRV 7FR  ,"30,991.00"
CLAMP EXFX ADDRSNG CLMP ,"31,021.00"
DEVICE BX TRUPATH CTO   ,"31,056.00"
KIT VASC 210CM .038IN   ,"31,091.00"
CTHATHR SLHWK ES 2.5X135,"31,129.00"
ELECTRODE ESURE BTN FRNT,"31,185.00"
APPLICTR BRACHY BRST 4-5,"31,185.00"
MAZE ABLATION PROBE OLL2,"31,253.00"
SHEATH 12F LASER GUIDE L,"31,299.00"
SHEATH 14F LASER GUIDE L,"31,299.00"
SHEATH 16F LASER GUIDE L,"31,299.00"
RING EXFX FUL CIRC 130MM,"31,382.00"
RNG EX FX FL RNG 155MM  ,"31,382.00"
ARCH EX FIX 155MM FOOT L,"31,594.00"
PLT RCKR EXFX EZ FRM STR,"31,752.00"
PLATE U EXFX FRM 80MM   ,"31,776.00"
PLATE U EXFX FRM 105MM  ,"31,776.00"
PLATE U EXFX FRM 155MM  ,"31,776.00"
PLATE U EXFX FRM 180MM  ,"31,776.00"
PLATE EXFX SPTL U 130MM ,"31,776.00"
SYSTEM SINPLSTY 5X16MM  ,"31,789.00"
CONNECTOR TRANSLACE SPIN,"31,789.00"
GUIDE IPS TITANIUM      ,"31,789.00"
CATH BLN SNS 6MM MXLLA  ,"31,789.00"
RING EX-FX KIBG CRBN FIB,"31,871.00"
CATH OUTBCK ELT RE-ENTRY,"31,895.00"
CATH GD OUTBK 6F 120CM  ,"31,895.00"
RING EXFX TRULK FUL200MM,"31,903.00"
CLAMP EXFX T HEIDELBERG ,"31,974.00"
ELCTRD STRB XL 14GA 10CM,"32,066.00"
CATH BLNDIL PTA 5X220MM ,"32,197.00"
RING EXFX TRULK HLF 220 ,"32,338.00"
CTH PRK BLD SEPTMY 5F   ,"32,352.00"
CTH PRK BLD SEPTMY 13.4 ,"32,352.00"
CATH BALN ER-REBOA/MNTR ,"32,523.00"
CATH VASC ARC SUPRT NV  ,"32,523.00"
SYS ABL MCWV ANTNA 12X2 ,"32,575.00"
SYS ABL MCWV ANTNA 22X2 ,"32,575.00"
SYS ABL MCWV ANTN 22X3.7,"32,575.00"
ANTNA ABL MCWV 17X2CM   ,"32,575.00"
SYS ABL MCWVANTNA 12X3.7,"32,575.00"
CATH FRZR-MX5 9F 66MM   ,"32,604.00"
TRAIL SURG MLD RT 64MM  ,"32,604.00"
CATH LSR TRBO ELB1.7X150,"32,604.00"
CATH LSR TRBO ELB .9X150,"32,604.00"
DRIVE FLEX TA           ,"32,604.00"
RAIL ROD EXFIX 6370     ,"32,686.00"
HNDPC ESURG THNDRBT 5X20,"32,745.00"
NDL STRBRST 9 ARY 25    ,"32,760.00"
SEALER BIPLR 2.3 AQMNTS ,"32,769.00"
SYSTEM IMAGING ENDOCAPSU,"32,829.00"
SEPARATOR THRMB 190CM .0,"32,886.00"
CLAMP EXFX STR          ,"33,062.00"
KIT BX RELINE CNSL MAS  ,"33,273.00"
PLTE FT EX FIX 160MM    ,"33,387.00"
PLATE EX FIX 140MM      ,"33,387.00"
CATHETER PHENOM PLUS    ,"33,420.00"
APPLICATOR THRMABL MCWV ,"33,566.00"
ELECTRODE ESURG 4.5FR 17,"33,664.00"
UNIT ESURG 4-7CM 12CM 9 ,"33,703.00"
CATH PRDTR DMDBCK 1.25  ,"33,964.00"
CTHATHR DBCK 1.25       ,"33,964.00"
CTHATHR DBCK CN SLD 1.75,"33,964.00"
CTHATHR DBCK CRWN SLD 2 ,"33,964.00"
CTHATHR DBCK CN SLD 2.25,"33,964.00"
CATH THRMB TRLLS-8 120CM,"34,153.00"
RECHARGER NRSTM ACT MVD ,"34,235.00"
CATHETER CRYABL FRZR MAX,"34,235.00"
CATH CRYABL FRZR MAX 5MM,"34,235.00"
CAT HSTHRCM 5FR 135X1.4 ,"34,235.00"
PACKING NSL NSOPOR 8CM  ,"34,254.00"
INTRODUCR KPHPK 15/3    ,"34,346.00"
ELECTRODE ESURG 33CM 5MM,"34,398.00"
CATH THRMB 145CM 4/3FR  ,"34,400.00"
PROCESSOR SOUND AID BRN ,"34,586.00"
AID HR BLK SND PRC      ,"34,586.00"
PROCESSOR SOUND AID TAN ,"34,586.00"
AID HR PINK SND PRC     ,"34,586.00"
AID HR SLVR SND PRC     ,"34,586.00"
AID HR BLUE SND PRC     ,"34,586.00"
ELCTRD STRB XL 14GA 15CM,"34,675.00"
INTRODUCER KPHPK 20/3   ,"34,789.00"
PROBE IRR 150CM 1.5MM   ,"34,879.00"
CATH INFS MIC 1.9F 1.5CM,"34,968.00"
SUPPLY                  ,"35,000.00"
PROBE BX SPN DRV OPTC   ,"35,050.00"
CATH PRDTR DMDBCK 1.5   ,"35,098.00"
CATH PRDTR DMDBCK 21.75 ,"35,098.00"
CATH PRDTR DMDBCK 2.00  ,"35,098.00"
CATH PRDTR DMDBCK 2.25  ,"35,098.00"
MATRSTM MICMTRX 1MG 1000,"35,213.00"
CATH RENTRY 5FR 135CM   ,"35,783.00"
CATH RENTRY 5FR 150CM   ,"35,783.00"
CTHGD CROSSER 14P       ,"35,783.00"
PROBE APC SDEFR 7FR     ,"35,857.00"
RING EXFX FL CIRC 80MM  ,"35,865.00"
PROBE CRYO-ABLTN 10CM   ,"35,865.00"
CATHETER VLVPL L70CM L2.,"35,865.00"
CLARITY QUICK CONNECT TU,"36,280.00"
CATH DIST 0.060INX132CM ,"36,313.00"
ARCH EX FIX FOOT 155MM  ,"36,333.00"
THRM ABL INTRACORP H    ,"36,338.00"
TOOL FXTR ORTH EXFX 2.75,"36,383.00"
APPLICTR BRACHY BRST 5-6,"36,383.00"
KIT EXFX HNG PIP 2 LG   ,"36,438.00"
RAIL ROCKER TRLCK KIT PR,"36,549.00"
PROBE CRYABL 10CM 3     ,"36,598.00"
RAIL BDS90MMMICRINGSYS  ,"36,680.00"
MODEL ANTM ADULT MANDIB ,"36,729.00"
SPACER FEM GPS HIP165X17,"37,044.00"
KIT SPLNT PTSPC 2 ORTHGN,"37,050.00"
CATH THRMB REPRFSN 132CM,"37,332.00"
SEPARATOR WIRE 200CM .32,"37,332.00"
SEPARATOR WIRE 200CM .41,"37,332.00"
MODEL FULL MNDB CLRVW   ,"37,414.00"
PATCH WNDCLS 40X20/10CM ,"37,495.00"
INTRODUCER KYPH 10/2    ,"37,495.00"
CATH BLN L70 L24-28 IN  ,"37,495.00"
ELECTRODE ESURG 2-4CM 15,"37,658.00"
ARCH EXFX COMP 90D SM   ,"37,824.00"
ARCH EXFX COMP 120D SM  ,"37,824.00"
ARCH EXFX COMP 12D LG   ,"37,824.00"
FIXATOR XTRNL MTL ALLY  ,"37,952.00"
CATH INDG 8 XTORQ 115CM ,"37,971.00"
CATH ABL4MM NAVIST703146,"38,147.00"
PROBE CRRG CRYABL 10CM  ,"38,147.00"
CATH INFS 3.8F 4-6MM 120,"38,310.00"
CATHETER INFS 20FR .25IN,"38,310.00"
CATHETER INFS 23FR 3/8IN,"38,310.00"
CATH INFS 27FR 3/8IN 27F,"38,310.00"
CATHETER INFS 31FR 3/8IN,"38,310.00"
CTHEP NVS TC7.5FF3.5 252,"38,310.00"
KIT STABILI T FULL LONG ,"38,310.00"
PROCESSR SND NCL 5 SND  ,"38,880.00"
PROCESSOR SND NCL 5     ,"38,880.00"
ROD HFMN2 EX FIX YLW    ,"38,884.00"
CATH ARTHMY TRBHWK XMED ,"39,624.00"
CTHATHR DBCK CN SLD 1.5 ,"39,624.00"
PASSER SCORPN SUTR SHLDR,"39,624.00"
MOLD SPACER FEM 60MM    ,"39,632.00"
STIMULATR BN GRWTH PHYSI,"39,690.00"
KIT IPH PRFSN HPTHR DISP,"39,690.00"
DEV BN STM EXGN ULTSND  ,"39,690.00"
DEV BN STM EXGN 4000+   ,"39,690.00"
STIMULATR BONE GROWTH EL,"39,690.00"
CLAMP RAIL SM ANT/PST 2H,"39,777.00"
MAZE ABLATION PROB OSL2 ,"39,940.00"
MAZE ABLATION PROB OLL2 ,"39,940.00"
SUPPLY                  ,"40,000.00"
CATH REPFSN 6F 064X132  ,"40,592.00"
SEPARATOR WIRE 200CM .26,"40,592.00"
CATH GD 5F 135CM X1.7MM ,"40,674.00"
CATH GD 6F 110CMX2MM    ,"40,674.00"
CATH GD OCLT 6FR 110CM  ,"40,674.00"
CATH OCLOT 7F 130CM     ,"40,674.00"
CATH DISTAL 125CM STR   ,"40,674.00"
PROBE CRYABL SHRP TP 1.7,"40,755.00"
CATHETER INFS 2-3.5MM MC,"40,755.00"
SYST SREFIRE PRECIS .021,"40,755.00"
DEV BRCHY SAVI 6-1 MINI ,"40,755.00"
DEV BRCHY SAVI 6-1 BRST ,"40,755.00"
CATHETER GAMMA APPLICATO,"40,755.00"
SAVI RAD RX APPL 10GAMMA,"40,755.00"
CATH DRN STRT 2LTR KIT  ,"40,755.00"
CATH BRNCHL THERMO ALAIR,"40,755.00"
DEV SP RET OD4 ALGTR    ,"40,755.00"
DEV SP RET OD3 ALGTR    ,"40,755.00"
SYSTEM BLN AVAFLEX 11GX2,"40,796.00"
SYSTEM BLN AVAFLX 11GX15,"40,796.00"
KIT FRCTR IVAS 10G 15MM ,"40,796.00"
DEVICE RTRVL SUT 2MM    ,"40,886.00"
DEV ALGTR RETREIVAL 5   ,"40,886.00"
FIXATOR SELF ALIGNING AR,"40,951.00"
CATH ABL THRMCL UD CRV B,"41,081.00"
CATH ABL THRMCL UD CRV D,"41,081.00"
CATH ABL THRMCL UD CRV F,"41,081.00"
CATH ABL THRMCL UD CRV J,"41,081.00"
CATH ABL B CRV SF 8F 3.5,"41,081.00"
CATH THRMCL D CRV 7.5FR ,"41,081.00"
CTHEP NVS TC7.5FB3.5 252,"41,081.00"
CTHEP NVS TC7.5FD3.5 252,"41,081.00"
CTHICE SNDSTR 3D 90     ,"41,081.00"
INTRO KYPHN 1STP 1ST FX ,"41,245.00"
DSTRCT PLT MXL 19X13MM  ,"41,287.00"
PROCESSOR SOUND BAHA 4 S,"41,675.00"
CATHETER RFA BALLOON 360,"41,880.00"
RAIL EXFX ANT POST 2 HL ,"42,141.00"
CATH PNR TRNS ACC       ,"42,270.00"
DSTRCT MXL 2 XDR 27MM   ,"42,299.00"
CTHLSR TRBO ELRX 2X150  ,"42,386.00"
CATHETER ULTSND 8FR 110C,"42,549.00"
HANDPIECE NICO 13GX10CM ,"42,630.00"
CLAMP EXFX DSTRCT PIN   ,"42,858.00"
KIT KYHOPLASTY XPR      ,"42,919.00"
CATH EP 4M X 7.5FR      ,"42,978.00"
STRUT EXFX HXFX HYBRD   ,"42,994.00"
TRAY KPHPK 1FX XPNDR15/3,"43,251.00"
CATH DIAG DSTR ULTRSND8F,"43,429.00"
HNDPC ASP MYRIAD 11GA   ,"43,473.00"
HANDPIECE MYRIAD 15GA   ,"43,473.00"
HANDPIECE NICO 19GX21.5C,"43,473.00"
HANDPIECE NICO 15GX25CM ,"43,473.00"
HANDPIECE RESCT E NSL 13,"43,473.00"
CATH THRMCL F CRV 7.5FR ,"43,934.00"
ROD BENDING DIGITIZER.AR,"43,934.00"
CATH THRMCL B-D CRV 8FR ,"44,016.00"
TRAY CATH RAD THRPY 3CM ,"44,016.00"
MODEL ANATOMIC BONE MAND,"44,032.00"
MOLD SPACER FEM 70MM    ,"44,570.00"
CEMENT SPACER FEM 65MM  ,"44,570.00"
CTHATHR SLHWK 6.5X113   ,"44,749.00"
CATH CONTRA MTLUM 4-5CM ,"44,831.00"
CATH THRMB 132CM SYS 5  ,"44,831.00"
KIT FRCTR IVAS 11G 15MM ,"44,831.00"
ELCTRD ESURG UNIBLT 10CM,"44,896.00"
UNIBLADE 15CM ELCSRG DEV,"44,896.00"
GLIDELIGHT 80HZ LSR 16FR,"44,994.00"
SUPPLY 4500000          ,"45,000.00"
SET EXFX ARCH PED SM 90D,"45,239.00"
ARCH EXFX ILZ LG 90D    ,"45,239.00"
ARCH EXFX ADLT 1/3 120D ,"45,239.00"
DISTRACTOR 30MM TS-MD MA,"45,383.00"
DISTRACTOR RIGHT MXL MOD,"45,428.00"
FIXATOR PLT AO FIT 4.2  ,"46,336.00"
HYDROGEL SPACEOAR 10ML  ,"46,461.00"
CATH THRMCL BD 8F 115CM ,"46,559.00"
CATHETER JET 7          ,"46,624.00"
CATHETER JET D          ,"46,624.00"
STAPLER PREM PLUS CEEA 2,"46,707.00"
CATH INDG 8 XTORQ 115CM ,"46,787.00"
DEV EXFX PLAT ROT 200MM ,"46,804.00"
KIT SYSTEM NEURO STIMULA,"47,099.00"
GUIDE IPS BN GRAFT      ,"47,195.00"
ELCTRD ESURG EML2       ,"47,276.00"
PRB MAZE ABL PRB EMR2   ,"47,276.00"
CATH LSR TRBO ELB 2X150 ,"47,276.00"
CATH IRR 4MM 7.5F       ,"47,276.00"
CATH EP 4MMX7.5FR       ,"47,276.00"
CATHETER ABL 7.5FR CRV U,"47,276.00"
CATH ULTSND 6FR 120C    ,"47,350.00"
DISTRACTOR 25MM TS-MD MA,"47,651.00"
CATH THRMCL DF 8F 115CM ,"47,928.00"
CATH THMCL DF CRV 8FR   ,"47,928.00"
CATH EP RMT NAVISTAR THE,"48,091.00"
SEPRTR THRMB 158X190CM  ,"48,417.00"
SEPARATOR SURG FEX 054  ,"48,417.00"
SET TISS CLSR ABD WL    ,"48,711.00"
SEPARATOR SURG FEX 032  ,"48,743.00"
SEPARATOR SURG FEX 041  ,"48,743.00"
CATH LSR VTS X-80 .9MM  ,"48,825.00"
GLIDELIGHT 80HZ LSR 14FR,"48,825.00"
PASSER SCORPN SUTR 16MM ,"48,825.00"
CATH GD .014IN 8FR 130CM,"48,825.00"
CATH OCLOT 7F 130CM     ,"48,825.00"
CATH SCALLOPED 7 FR     ,"48,825.00"
CATH OCT CUTTER 8FR     ,"48,825.00"
CATH DIR ATHERECTOMY    ,"48,825.00"
BAR ARCH 200MM 81039A   ,"48,906.00"
STIM BN GROTH ELEC      ,"48,906.00"
STIMULATOR BONE PHSTM   ,"48,906.00"
CLAMP EXFX PLVC BALL    ,"49,185.00"
CATH THRMCL D CRV 8FR   ,"49,493.00"
CATH INFS EKOSONC 135X50,"49,520.00"
GLIDELIGHT 80HZ LSR 12FR,"49,559.00"
RAIL CRBN EX FIX 420MM  ,"49,852.00"
SUPPLY 5000000          ,"50,000.00"
PIN EXFX CNTRL FXTR     ,"50,341.00"
SYSTEM THRMB ZELANTEDVT ,"50,400.00"
CATH INFS EKOSONC 106X6 ,"50,455.00"
CATH INFS EKOSONC 106X12,"50,455.00"
CATH INFS EKOSONC 106X18,"50,455.00"
CATH INFS EKOSONC 106X24,"50,455.00"
CATH INFS EKOSONC 106X30,"50,455.00"
CATH INFS EKOSONC 106X40,"50,455.00"
CATH INFS EKOSONC 106X50,"50,455.00"
CATH INFS EKOSONC 135X12,"50,455.00"
CATH INFS EKOSONC 135X30,"50,455.00"
CATH INFS EKOSONC 135X40,"50,455.00"
CATH THRMCL J CRV 8FR   ,"50,944.00"
SHEATH TRANSCRTD SYSTEM ,"51,352.00"
BODY HUM 58MM CMPRH SM  ,"51,937.00"
HNDPC ESURG THNDRBT 5X35,"52,063.00"
CATH SUC 6CM KEY SPC TUR,"52,085.00"
CATH THRMB 180CM 2MM    ,"52,085.00"
MRC RTRV V 2.5 FRM      ,"52,085.00"
MRC RTRV V 2.5 SFT      ,"52,085.00"
RETR THROMB MERCI FIRM L,"52,085.00"
DSTRCT 15MM MDLN BOL    ,"52,320.00"
CTHEP ENSTE ARR EC1000  ,"52,330.00"
CATH THRMCL D/F CRV 8FR ,"52,493.00"
MODEL BN MNDB FULL CLRVW,"53,226.00"
KIT MNDB RECON CMF GD   ,"53,436.00"
ANTNA MCWV ABL PERC SHRT,"53,716.00"
CATH ARTH 2.3MMX.018IN  ,"53,716.00"
CATHETER TURBO ELT 2.3MM,"53,716.00"
ATENNA ABL 15DM PERC    ,"53,716.00"
ANTENNA ABL 20CM PERC   ,"53,716.00"
ELECTRODE ESURG 2-4CM 25,"53,895.00"
CATH THRMCL F/J CRV 8FR ,"54,205.00"
CATH THRMCL DD CRV 8FR  ,"54,205.00"
CATH THRMCL FF CRV 8FR  ,"54,205.00"
CATH THRMCL JJ CRV 8FR  ,"54,205.00"
CATH HAWKONE 6FR H1-M   ,"54,531.00"
CATH ABL 7.5MM D CRV    ,"54,743.00"
CATH AB 7.5 MM F CRV    ,"54,743.00"
CATH AB 7.5MM J CRV     ,"54,743.00"
CATH ABL D CRV UD       ,"54,743.00"
CATH ABL F CRV UD       ,"54,743.00"
CATH ABL J CRV UD       ,"54,743.00"
PROBE OSTEOCOOL 7MM 17GA,"54,779.00"
SPYGLASS DS ACCESS AND D,"54,834.00"
SUPPLY 5500000          ,"55,000.00"
CATH ATHRCM 1.5MM 145 SC,"55,346.00"
DISTRACTOR 15MM MICRO   ,"55,419.00"
MODEL SKULL STEREOLITHIC,"55,427.00"
DISTRACTOR MDFC 40MM 4X4,"56,031.00"
KPHPK 20/3 1ST FX       ,"56,291.00"
CATH ATHRCM JTSTRM 120CM,"56,644.00"
PROCESSOR COCLR BAHA BRN,"56,880.00"
KIT THEMOCHEM HT 2000 IP,"57,057.00"
ELECTRODE MNPLR DVNC S E,"57,354.00"
CATH LSR TRB EX 2.0 .018,"57,791.00"
CATH ABLATION 7.5MM DD  ,"57,856.00"
CATH ABL 7.5MM FF CURVE ,"57,856.00"
CATH ABLATION 7.5MM JJ C,"57,856.00"
CATH ABL 7.5MM FJ CURVE ,"57,856.00"
CATH ABLTN 7.5MM DF CURV,"57,856.00"
SUPPLY 6000000          ,"60,000.00"
STRUT EXCHANGE KIT      ,"60,014.00"
CATH ORN HI RES MAP     ,"61,133.00"
NEEDLE 22GA ANSO SPN NIT,"61,133.00"
CATH ATHRCM JTSTRM 1.6MM,"61,189.00"
DEV EXFX CNTL DBY LNG   ,"61,702.00"
SET EXFX ANKL MOD LG    ,"61,702.00"
BAR VERTICAL GEARED     ,"62,282.00"
DISTRCTR ELB CNULA DJD  ,"62,699.00"
PROBE ABL RF VERT 20MM O,"63,664.00"
DEV EXFX 3/8X4.25X9/32IN,"63,904.00"
DISTRACTOR 3DX MAND EXT ,"64,242.00"
STARBURST XLI FLEX 25CM ,"64,377.00"
SUPPLY 6500000          ,"65,000.00"
DISTRACTOR LEFT MXL MOD ,"65,306.00"
DISTRACTOR LT MXL MOD ZU,"65,306.00"
DISTRACTOR RT MXL MOD ZU,"65,306.00"
PACK SHT 13.5MMX75MM HP ,"65,616.00"
PACK NC SHTH 13.5MMX60MM,"65,616.00"
PACK NCO SHTH11.50MM DSP,"65,616.00"
CATH ATHRCM JTSTRM 135CM,"66,084.00"
KIT SOURCE AXXENT HDR XR,"66,150.00"
DEV EXFX CNTRL BDY SHRT ,"66,192.00"
DEV EXFX PLAT ROT 180MM ,"67,485.00"
CATH THRMCL F CRV 8FR   ,"68,469.00"
DEV EXFX CARDAN JNT     ,"68,573.00"
HNDPC ESURG THNDRBT 5X10,"69,284.00"
SUPPLY 7000000          ,"70,000.00"
DEV EXFX CNTRL BDY STD  ,"71,634.00"
CTH CRYABL ARC FRNT 28MM,"71,729.00"
KIT CRYOSURG ICEROD NDL ,"71,729.00"
KIT DUAL PROBE 10MM X2  ,"72,152.00"
PROBE OSTEOCL 17X10X2MM ,"72,152.00"
ELCTRD ESURG BIPLR 4X   ,"74,305.00"
SUPPLY 7500000          ,"75,000.00"
BLOOD PROCSSING KIT     ,"75,372.00"
ASSEMBLY RAIL ARC PREASS,"76,375.00"
MODL VSP CSTM MNDB MXL  ,"77,435.00"
DEV EXFX HNG JNT HEDLBRG,"77,825.00"
SUPPLY 8000000          ,"80,000.00"
DEVICE SUT LARIAT       ,"80,695.00"
KIT CRYOSURGICAL ABLATIO,"81,510.00"
RODS KIDNEY CRYO ICE    ,"81,510.00"
DSTRCT MNDB CRVILNR STR ,"81,610.00"
DVCE 3D REVASC          ,"82,978.00"
SUPPLY 8500000          ,"85,000.00"
SET EXFX ANKL MOD BL JNT,"85,716.00"
WAND APLO 2.6MM LG      ,"86,320.00"
WND SM APLO2.1 .083/27CM,"86,320.00"
RING EXFX ADPT HEDLBRG  ,"87,485.00"
DISTRACTOR 30MM ZURICH M,"87,532.00"
DEV EXFX CNTRL BDY MED  ,"88,029.00"
DSTRCT MDFC CRV 30MM    ,"88,501.00"
FIBER GRNLIGHT PV LASER ,"89,660.00"
SUPPLY 9000000          ,"90,000.00"
DEV EXFX CNTRL DBY LG   ,"93,675.00"
PROBE SPYGLS M00546030  ,"93,818.00"
FRAME EXFX 155MM        ,"93,896.00"
SUPPLY 9500000          ,"95,000.00"
DISTRACTOR LT 20MM 1MM  ,"98,478.00"
DISTRACTOR RT 20MM 1MM  ,"98,478.00"
DEV EXFX TEMP FRM       ,"99,934.00"
CATH THRMB SOLTR 31CM   ,"104,333.00"
CATH THRMB SOLTR 42CM   ,"104,333.00"
DEVICE THRMB 40X4MM SOLI,"104,333.00"
DEVICE SOLITARE 6X40X10 ,"104,333.00"
DVC SOLTR PLTNM6X20X10MM,"104,333.00"
DEVICE SOLITAIRE PLATINU,"104,333.00"
DEVICE THRMB 4X20X10MM  ,"104,333.00"
DEVICE RVSCLR 017IN 4X23,"104,741.00"
DEVICE RVSCLR LP 4X15MM ,"104,741.00"
DEVICE RVSCLR LP 3X15MM ,"104,741.00"
CATH DLV SYS ENSMB 18MM ,"105,963.00"
CATH DLV SYS ENSMB 20MM ,"105,963.00"
CATH DLV SYS ENSMB 22MM ,"105,963.00"
DEVICE REVASCULAR 3X23MM,"105,963.00"
DEV EXFX ANGULATOR      ,"106,261.00"
DSTRCT RDS 1.3X30 RT    ,"107,382.00"
DEVICE ARTEMIS EVAC 2.8M,"107,512.00"
DEVICE NEURO EVAC 2.1   ,"107,512.00"
DISTRACTOR MNDB 20MM    ,"108,249.00"
GUIDE CUT 65 MD MDL     ,"110,296.00"
SYS CATH TREVO XP 4X30MM,"112,900.00"
NICO BRNPTH 11MM 13.5MM ,"113,788.00"
ANTERIOR ANGULAR HINGE F,"113,856.00"
MODL VSP CSTM MNDB MXL  ,"114,033.00"
FIXATOR EXFX FLX CLLS   ,"114,220.00"
FRAME FT ASMBLY 180MM   ,"115,699.00"
DEV EXFX STD CNTRL BDY  ,"117,417.00"
DEV DSTRCT ZRCHII 15MM  ,"118,006.00"
DSTRCT EXFX END-DRV 20MM,"118,006.00"
DISTRACTOR MNDB WMS SURG,"118,006.00"
CLAMP EXFX CMPR CAL 2   ,"118,030.00"
SYS CATH RETV TRVO 4X20 ,"118,486.00"
SYSTEM CTH TREVO PROVU14,"118,486.00"
TREVO XP 4X30MM         ,"124,720.00"
DSTRCT SURG 3D MNDB XTRN,"125,855.00"
DEV GD EPI-SNS ABL 3CM  ,"127,156.00"
RETRIEVE RPR TRV XP 6X25,"127,920.00"
SYS CATH RETV TRVO PRO 4,"130,335.00"
DSTRCT MDFC 30MM CRV    ,"130,521.00"
DEV EXFX SHRT CNTRL BDY ,"136,057.00"
HNGE EXFIX CMPS UNIV    ,"155,445.00"
ISKD NAIL TIBIA 12.5 X 3,"158,130.00"
SYS PRFSN ANGOVAC CRCT  ,"159,250.00"
DEV EXFX PLVC-IN-A-BX   ,"159,663.00"
PROCESSOR DUAL KT N7    ,"162,042.00"
CATH PMP IMPELLA 2.5 9F ,"163,020.00"
CANNULA W DILATR 20D ANG,"163,020.00"
CANN W DILATOR STRGT TIP,"163,020.00"
CANN ANGIOVAC BYPS      ,"163,020.00"
CANN&CRCT 20D ANGL BT   ,"163,020.00"
SET EXFX RGD DISTRT     ,"163,020.00"
COAG DVC KIT CDP-4330-1 ,"163,020.00"
SET VAD CENTRIMG BLD PMP,"163,020.00"
DEVIC NCK ANRYSM3.5-4.5M,"163,020.00"
PT KIT SONNET 2 PROCESSO,"163,020.00"
KIT PT SONNET EAS       ,"163,020.00"
DEVICE EPISENSE 3CM CAOG,"168,000.00"
ACTUATOR LMB LGNTH 12.5 ,"171,699.00"
CATH IMPELLA CP PUMP SET,"178,750.00"
KIT FBR LSR NEURO 10MM  ,"207,920.00"
KIT FBR LSR NEURO 3MM   ,"207,920.00"
PIPELNE FLW DVRTR 4.5X35,"220,800.00"
SET EXFX HX BX SYS      ,"229,148.00"
DEV ANGIOVAC SX CANNULA ,"240,000.00"
CATH PMP IMPELLA LD 9F  ,"362,880.00"
CATH BLN VAD IMPELLA 2.5,"400,000.00"
CATH/PUMP IMPELLA US HDE,"400,000.00"
DEV EXFX FRM MED 155MM  ,"412,333.00"
DEV EXFX FRM SHRT 180MM ,"412,333.00"
DEV EXFX FRM MED 180MM  ,"412,333.00"
DEV EXFX FRM OPN 180MM  ,"477,735.00"
DEV EXFX FRM OPN 205MM  ,"477,735.00"
DEV EXFX FT FRM MED 155 ,"477,735.00"
CATH PMP IMPELLA 5.0 9F ,"512,000.00"
INJECTION INTRA-ARTERIAL,161.75
OP VISIT LEVEL 1 NP     ,179.5
OP VISIT LEVEL 1 EST    ,179.5
OP VISIT LEVEL 2 NP     ,210.75
OP VISIT LEVEL 2 EST    ,210.75
OP VISIT LEVEL 3 NP     ,241.75
OP VISIT LEVEL 3 EST    ,241.75
OP VISIT LEVEL 4 NP     ,272.5
OP VISIT LEVEL 4 EST    ,272.5
CHEMO SQ/IM NON HORM ANP,282
OP VISIT LEVEL 5 NP     ,303.75
OP VISIT LEVEL 5 EST    ,303.75
PROCEDURE CATEGORY 1    ,316.25
REFILL/MAINT PUMP DRG DL,362.75
IV INITIAL UP TO 1 HOUR ,369
COLL BLOOD IMPLANTED VAD,398.75
CHEMO IV PUSH SING/IN DR,495.75
CHEMO IV EA AD SEQ 1 HR ,627
CHEMO IV SING/IN DR 1 HR,756.25
CHEM INF > 8HR REQ PUMP ,877.25
PROCEDURE CATEGORY 2    ,894.25
GI PH STUDY             ,"1,315.75"
PROCEDURE CATEGORY 3    ,"2,222.00"
ENDO CATEGORY 1         ,"2,421.00"
GI ESOPHAGEAL MOTILITY  ,"2,498.00"
ANORECTAL MANOMETRY     ,"3,021.25"
PILL CAM                ,"3,521.25"
ENDO CATEGORY 2         ,"4,030.50"
ENDO CATEGORY 3         ,"5,158.00"
ENDO CATEGORY 4         ,"6,768.25"
TR PORT IMAGE           ,312.5
TR MED PHYSICS CONT     ,796.5
TR SIMULATION SIMPLE    ,"1,283.25"
TR TREAT DEVICE SIMPLE  ,"1,308.25"
TR DOSIMETRY BASIC      ,"1,346.00"
TR SPECIAL PORT PLAN    ,"1,518.50"
TR MED PHYSICS SPECIAL  ,"1,601.75"
PROTON TX SIMP W/O COMP ,"1,710.00"
LOC GUID RAD TX DEL     ,"1,712.75"
TR TREAT DEVICE INTERMED,"1,802.25"
TR SPECIAL DOSIM        ,"2,045.25"
TR SIMULATION COMPLEX   ,"2,294.75"
TR TREAT DEVICE COMPLEX ,"2,583.50"
PROTON TX SIM W/COMP    ,"3,611.50"
PROTON TX INTERMED      ,"3,611.50"
PROTON TX COMPLEX       ,"3,611.50"
3D RADIOTHER PLAN W DVH ,"6,795.75"
US INFANT HIP STATIC    ,223.75
US INFANT HIP DYNAM     ,252.5
US CHST W/MEDIASTINUM   ,376
